ghi,dni,dhi,air_temp,period_end,period
16,0,16,26,2026-07-08 06:20:00,PT5M
24,0,24,26,2026-07-08 06:25:00,PT5M
32,0,32,26,2026-07-08 06:30:00,PT5M
41,0,41,26,2026-07-08 06:35:00,PT5M
48,0,48,27,2026-07-08 06:40:00,PT5M
53,0,53,27,2026-07-08 06:45:00,PT5M
62,0,62,27,2026-07-08 06:50:00,PT5M
72,0,72,27,2026-07-08 06:55:00,PT5M
83,0,83,27,2026-07-08 07:00:00,PT5M
95,0,95,27,2026-07-08 07:05:00,PT5M
108,0,108,27,2026-07-08 07:10:00,PT5M
118,0,118,27,2026-07-08 07:15:00,PT5M
133,0,133,27,2026-07-08 07:20:00,PT5M
145,0,145,27,2026-07-08 07:25:00,PT5M
158,0,158,27,2026-07-08 07:30:00,PT5M
171,0,171,27,2026-07-08 07:35:00,PT5M
186,12,182,27,2026-07-08 07:40:00,PT5M
202,31,190,27,2026-07-08 07:45:00,PT5M
218,51,197,27,2026-07-08 07:50:00,PT5M
233,71,203,27,2026-07-08 07:55:00,PT5M
250,91,209,28,2026-07-08 08:00:00,PT5M
266,112,215,28,2026-07-08 08:05:00,PT5M
283,133,220,28,2026-07-08 08:10:00,PT5M
300,154,224,28,2026-07-08 08:15:00,PT5M
317,174,228,28,2026-07-08 08:20:00,PT5M
335,195,231,28,2026-07-08 08:25:00,PT5M
355,223,233,28,2026-07-08 08:30:00,PT5M
372,244,235,28,2026-07-08 08:35:00,PT5M
390,265,237,28,2026-07-08 08:40:00,PT5M
408,285,238,28,2026-07-08 08:45:00,PT5M
426,306,239,28,2026-07-08 08:50:00,PT5M
444,327,240,28,2026-07-08 08:55:00,PT5M
463,348,240,28,2026-07-08 09:00:00,PT5M
481,369,239,28,2026-07-08 09:05:00,PT5M
496,377,243,28,2026-07-08 09:10:00,PT5M
510,384,246,28,2026-07-08 09:15:00,PT5M
524,392,250,28,2026-07-08 09:20:00,PT5M
538,400,253,28,2026-07-08 09:25:00,PT5M
552,408,255,28,2026-07-08 09:30:00,PT5M
566,416,258,28,2026-07-08 09:35:00,PT5M
579,424,260,28,2026-07-08 09:40:00,PT5M
592,431,262,28,2026-07-08 09:45:00,PT5M
605,438,264,28,2026-07-08 09:50:00,PT5M
617,446,265,29,2026-07-08 09:55:00,PT5M
630,452,267,29,2026-07-08 10:00:00,PT5M
641,459,268,29,2026-07-08 10:05:00,PT5M
653,465,269,29,2026-07-08 10:10:00,PT5M
663,471,271,29,2026-07-08 10:15:00,PT5M
674,476,272,29,2026-07-08 10:20:00,PT5M
684,481,273,29,2026-07-08 10:25:00,PT5M
693,486,274,29,2026-07-08 10:30:00,PT5M
703,491,275,29,2026-07-08 10:35:00,PT5M
713,497,275,29,2026-07-08 10:40:00,PT5M
722,503,275,29,2026-07-08 10:45:00,PT5M
731,509,275,29,2026-07-08 10:50:00,PT5M
740,514,275,29,2026-07-08 10:55:00,PT5M
748,520,275,29,2026-07-08 11:00:00,PT5M
756,525,274,29,2026-07-08 11:05:00,PT5M
763,530,274,29,2026-07-08 11:10:00,PT5M
770,536,273,29,2026-07-08 11:15:00,PT5M
777,541,272,29,2026-07-08 11:20:00,PT5M
783,545,271,29,2026-07-08 11:25:00,PT5M
789,550,270,29,2026-07-08 11:30:00,PT5M
794,553,270,29,2026-07-08 11:35:00,PT5M
797,554,271,29,2026-07-08 11:40:00,PT5M
801,555,272,29,2026-07-08 11:45:00,PT5M
803,556,272,29,2026-07-08 11:50:00,PT5M
806,556,273,29,2026-07-08 11:55:00,PT5M
807,557,273,29,2026-07-08 12:00:00,PT5M
809,557,274,29,2026-07-08 12:05:00,PT5M
810,557,274,29,2026-07-08 12:10:00,PT5M
810,557,274,29,2026-07-08 12:15:00,PT5M
810,556,274,29,2026-07-08 12:20:00,PT5M
810,556,275,29,2026-07-08 12:25:00,PT5M
809,555,275,29,2026-07-08 12:30:00,PT5M
807,555,275,29,2026-07-08 12:35:00,PT5M
806,555,274,29,2026-07-08 12:40:00,PT5M
803,554,273,29,2026-07-08 12:45:00,PT5M
801,554,273,29,2026-07-08 12:50:00,PT5M
798,553,272,29,2026-07-08 12:55:00,PT5M
794,552,271,29,2026-07-08 13:00:00,PT5M
790,551,271,29,2026-07-08 13:05:00,PT5M
786,550,270,29,2026-07-08 13:10:00,PT5M
781,549,269,29,2026-07-08 13:15:00,PT5M
776,547,268,29,2026-07-08 13:20:00,PT5M
770,545,266,29,2026-07-08 13:25:00,PT5M
764,544,265,29,2026-07-08 13:30:00,PT5M
757,541,264,29,2026-07-08 13:35:00,PT5M
749,536,264,29,2026-07-08 13:40:00,PT5M
741,532,264,29,2026-07-08 13:45:00,PT5M
732,528,263,29,2026-07-08 13:50:00,PT5M
723,523,262,29,2026-07-08 13:55:00,PT5M
714,518,261,29,2026-07-08 14:00:00,PT5M
704,514,260,29,2026-07-08 14:05:00,PT5M
694,509,259,29,2026-07-08 14:10:00,PT5M
684,504,258,29,2026-07-08 14:15:00,PT5M
673,498,256,29,2026-07-08 14:20:00,PT5M
662,493,255,29,2026-07-08 14:25:00,PT5M
650,487,253,29,2026-07-08 14:30:00,PT5M
638,480,252,29,2026-07-08 14:35:00,PT5M
624,471,252,29,2026-07-08 14:40:00,PT5M
611,461,251,29,2026-07-08 14:45:00,PT5M
597,452,250,29,2026-07-08 14:50:00,PT5M
583,443,249,29,2026-07-08 14:55:00,PT5M
