gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
497,569,445,245,35,0.15,38.6,3.6,207,2026-08-14 15:05:00,PT5M,84.096,100.0,98.381,69.811,56.954
479,547,413,252,35,0.15,39.0,3.7,209,2026-08-14 15:10:00,PT5M,74.067,100.0,93.8977,54.2363,36.388
466,533,410,247,35,0.15,39.5,3.8,211,2026-08-14 15:15:00,PT5M,73.254,100.0,92.7747,53.7333,36.164
453,520,408,241,35,0.15,39.9,4.0,213,2026-08-14 15:20:00,PT5M,70.557,100.0,90.4314,50.6826,32.795
402,443,207,304,35,0.15,40.4,4.1,214,2026-08-14 15:25:00,PT5M,67.782,100.0,88.5961,46.9679,28.2345
381,416,163,309,34,0.15,40.8,4.3,216,2026-08-14 15:30:00,PT5M,53.46,97.0525,76.403,30.517,9.8675
365,396,140,307,34,0.15,41.4,4.4,218,2026-08-14 15:35:00,PT5M,50.619,93.7995,73.3452,27.8928,7.4385
350,377,116,305,34,0.15,42.0,4.4,222,2026-08-14 15:40:00,PT5M,45.542,88.876,68.349,22.735,2.208
303,313,0,313,34,0.15,42.6,4.4,225,2026-08-14 15:45:00,PT5M,44.101,87.3275,66.8514,21.3506,0.8745
287,297,0,297,34,0.15,43.2,4.4,229,2026-08-14 15:50:00,PT5M,40.764,83.2755,63.1381,18.3899,0.0
255,264,0,264,33,0.15,43.8,4.5,232,2026-08-14 15:55:00,PT5M,34.282,76.6045,56.5566,12.0074,0.0
240,248,0,248,33,0.15,44.5,4.5,235,2026-08-14 16:00:00,PT5M,31.56,72.7115,53.2183,9.9017,0.0
225,233,0,233,33,0.15,45.1,4.6,238,2026-08-14 16:05:00,PT5M,29.167,70.415,50.8761,7.4579,0.0
207,214,0,214,33,0.15,45.8,4.7,241,2026-08-14 16:10:00,PT5M,26.87,67.327,48.1628,5.5772,0.0
176,183,0,183,33,0.15,46.4,4.8,244,2026-08-14 16:15:00,PT5M,24.164,63.7675,45.0076,3.3204,0.0
164,170,0,170,33,0.15,47.1,4.9,247,2026-08-14 16:20:00,PT5M,22.084,61.2265,42.685,1.483,0.0
153,158,0,158,32,0.15,47.8,5.0,250,2026-08-14 16:25:00,PT5M,20.539,54.934,38.6413,2.4367,0.0
141,146,0,146,32,0.15,48.5,5.1,252,2026-08-14 16:30:00,PT5M,19.453,52.819,37.0138,1.8922,0.0
130,135,0,135,32,0.15,49.9,5.2,253,2026-08-14 16:35:00,PT5M,18.01,48.528,34.0718,1.9482,0.0
123,127,0,127,31,0.15,52.0,5.1,253,2026-08-14 16:40:00,PT5M,16.919,45.794,32.1161,1.7219,0.0
113,117,0,117,31,0.15,54.2,5.0,253,2026-08-14 16:45:00,PT5M,15.709,42.6355,29.8806,1.5374,0.0
98,101,0,101,30,0.15,56.4,4.9,253,2026-08-14 16:50:00,PT5M,14.138,39.1355,27.2944,0.9816,0.0
89,92,0,92,30,0.15,58.8,4.9,253,2026-08-14 16:55:00,PT5M,13.678,36.132,25.4957,1.8603,0.0
80,83,0,83,29,0.15,61.3,4.8,253,2026-08-14 17:00:00,PT5M,13.144,32.6815,23.4267,2.8613,0.0
76,79,0,79,29,0.15,63.9,4.7,253,2026-08-14 17:05:00,PT5M,12.039,29.2105,21.0765,3.0015,0.0
75,77,0,77,28,0.15,66.7,4.6,254,2026-08-14 17:10:00,PT5M,11.607,26.6005,19.4982,3.7158,0.0
71,74,0,74,28,0.15,69.5,4.5,254,2026-08-14 17:15:00,PT5M,10.878,24.5975,18.0987,3.6573,0.0
60,62,0,62,27,0.15,72.5,4.5,254,2026-08-14 17:20:00,PT5M,9.607,20.223,15.1943,4.0197,0.0
56,58,0,58,27,0.15,75.6,4.4,254,2026-08-14 17:25:00,PT5M,8.696,18.933,14.0838,3.3082,0.0
51,53,0,53,26,0.15,78.9,4.3,254,2026-08-14 17:30:00,PT5M,7.818,16.2955,12.2798,3.3562,0.0
47,49,0,49,26,0.15,80.6,4.2,253,2026-08-14 17:35:00,PT5M,6.95,14.5435,10.9465,2.9535,0.0
41,43,0,43,26,0.15,80.7,4.2,252,2026-08-14 17:40:00,PT5M,5.957,11.791,9.0275,2.8865,0.123
36,37,0,37,26,0.15,80.8,4.2,250,2026-08-14 17:45:00,PT5M,4.96,9.3615,7.2765,2.6435,0.5585
30,31,0,31,26,0.15,81.0,4.1,249,2026-08-14 17:50:00,PT5M,4.071,7.4185,5.8328,2.3092,0.7235
26,27,0,27,26,0.15,81.1,4.1,247,2026-08-14 17:55:00,PT5M,3.186,5.4555,4.3805,1.9915,0.9165
22,22,0,22,26,0.15,81.2,4.0,246,2026-08-14 18:00:00,PT5M,2.42,4.0165,3.2602,1.5798,0.8235
16,17,0,17,26,0.15,81.3,4.0,244,2026-08-14 18:05:00,PT5M,1.549,2.562,2.0821,1.0159,0.536
9,10,0,10,26,0.15,81.5,4.0,243,2026-08-14 18:10:00,PT5M,0.573,1.1035,0.8522,0.2938,0.0425
3,3,0,3,26,0.15,81.6,4.0,241,2026-08-14 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,81.7,3.9,240,2026-08-14 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,81.8,3.9,238,2026-08-14 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,81.9,3.9,236,2026-08-14 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,81.7,3.9,235,2026-08-14 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
