gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
553,579,87,498,37,0.15,33.6,6.5,225,2026-08-27 13:35:00,PT5M,67.5,79.0275,73.567,61.433,55.9725
538,562,67,501,37,0.15,33.9,6.5,225,2026-08-27 13:40:00,PT5M,65.474,78.3185,72.2342,58.7138,52.6295
524,546,48,502,36,0.15,34.2,6.5,225,2026-08-27 13:45:00,PT5M,63.399,73.5085,68.7197,58.0783,53.2895
509,529,29,502,36,0.15,34.5,6.5,225,2026-08-27 13:50:00,PT5M,61.692,70.336,66.2414,57.1426,53.048
503,522,29,497,36,0.15,34.8,6.5,225,2026-08-27 13:55:00,PT5M,60.944,65.1115,63.1374,58.7506,56.7765
496,516,28,491,36,0.15,35.1,6.5,225,2026-08-27 14:00:00,PT5M,60.162,74.1755,67.5374,52.7866,46.1485
489,508,27,485,36,0.15,35.4,6.5,225,2026-08-27 14:05:00,PT5M,59.344,73.874,66.9912,51.6968,44.814
474,492,9,484,36,0.15,35.7,6.5,225,2026-08-27 14:10:00,PT5M,57.05,69.9935,63.8623,50.2377,44.1065
458,475,0,475,36,0.15,36.0,6.6,225,2026-08-27 14:15:00,PT5M,54.912,65.941,60.7166,49.1074,43.883
434,449,0,449,35,0.15,36.3,6.6,225,2026-08-27 14:20:00,PT5M,51.994,61.153,56.8144,47.1736,42.835
418,433,0,433,35,0.15,36.6,6.6,226,2026-08-27 14:25:00,PT5M,50.106,55.9255,53.1688,47.0432,44.2865
410,425,0,425,35,0.15,37.0,6.6,226,2026-08-27 14:30:00,PT5M,49.177,54.287,51.8664,46.4876,44.067
394,408,0,408,35,0.15,37.2,6.6,226,2026-08-27 14:35:00,PT5M,47.264,51.363,49.4213,45.1067,43.165
371,384,0,384,35,0.15,37.4,6.6,226,2026-08-27 14:40:00,PT5M,44.468,49.341,47.0327,41.9033,39.595
356,368,0,368,35,0.15,37.5,6.6,226,2026-08-27 14:45:00,PT5M,42.619,46.9385,44.8924,40.3456,38.2995
341,353,0,353,35,0.15,37.7,6.7,226,2026-08-27 14:50:00,PT5M,40.794,44.149,42.5598,39.0282,37.439
319,330,0,330,35,0.15,37.9,6.7,226,2026-08-27 14:55:00,PT5M,38.18,41.4095,39.8797,36.4803,34.9505
304,315,0,315,35,0.15,38.0,6.7,226,2026-08-27 15:00:00,PT5M,36.437,40.3175,38.4793,34.3947,32.5565
290,301,0,301,35,0.15,38.2,6.7,226,2026-08-27 15:05:00,PT5M,34.723,40.0165,37.509,31.937,29.4295
283,293,0,293,35,0.15,38.3,6.8,226,2026-08-27 15:10:00,PT5M,33.779,38.9315,36.4908,31.0672,28.6265
269,279,0,279,35,0.15,38.5,6.8,226,2026-08-27 15:15:00,PT5M,32.135,37.528,34.9734,29.2966,26.742
268,278,0,278,34,0.15,38.7,6.8,227,2026-08-27 15:20:00,PT5M,31.916,38.183,35.2144,28.6176,25.649
270,279,0,279,34,0.15,38.8,6.8,227,2026-08-27 15:25:00,PT5M,32.005,38.901,35.6344,28.3756,25.109
264,274,0,273,34,0.15,39.0,6.9,227,2026-08-27 15:30:00,PT5M,31.3,38.6395,35.1628,27.4372,23.9605
263,272,2,271,34,0.15,39.2,6.9,227,2026-08-27 15:35:00,PT5M,31.159,39.1205,35.3492,26.9688,23.1975
257,266,3,265,34,0.15,39.3,6.9,227,2026-08-27 15:40:00,PT5M,30.412,39.0185,34.9417,25.8823,21.8055
254,264,5,261,34,0.15,39.5,6.9,227,2026-08-27 15:45:00,PT5M,30.212,40.9935,35.8864,24.5376,19.4305
247,257,7,253,34,0.15,39.7,6.9,227,2026-08-27 15:50:00,PT5M,29.432,43.621,36.8998,21.9642,15.243
243,252,10,247,34,0.15,39.9,7.0,227,2026-08-27 15:55:00,PT5M,29.189,46.64,38.3736,20.0044,11.738
233,242,10,236,34,0.15,40.0,7.0,227,2026-08-27 16:00:00,PT5M,27.979,46.735,37.8504,18.1076,9.223
227,236,14,229,34,0.15,40.2,7.0,227,2026-08-27 16:05:00,PT5M,27.684,49.358,39.0912,16.2768,6.01
219,228,16,220,34,0.15,40.4,7.0,227,2026-08-27 16:10:00,PT5M,26.92,49.8885,39.0085,14.8315,3.9515
211,220,18,211,34,0.15,40.6,7.1,227,2026-08-27 16:15:00,PT5M,26.142,49.6425,38.5105,13.7735,2.6415
202,211,20,202,34,0.15,40.8,7.1,227,2026-08-27 16:20:00,PT5M,25.345,50.972,38.8327,11.8573,0.0
194,202,22,193,34,0.15,40.9,7.1,227,2026-08-27 16:25:00,PT5M,24.528,51.2785,38.607,10.449,0.0
185,193,23,183,34,0.15,41.1,7.1,227,2026-08-27 16:30:00,PT5M,23.713,51.3535,38.2604,9.1656,0.0
176,184,25,174,34,0.15,41.4,7.1,227,2026-08-27 16:35:00,PT5M,22.997,49.4725,36.9312,9.0628,0.0
166,174,26,164,34,0.15,41.9,7.1,226,2026-08-27 16:40:00,PT5M,22.03,47.0635,35.2053,8.8547,0.0
157,165,27,155,33,0.15,42.3,7.1,226,2026-08-27 16:45:00,PT5M,20.991,44.8525,33.5495,8.4325,0.0
147,155,26,145,33,0.15,42.7,7.0,226,2026-08-27 16:50:00,PT5M,19.751,42.252,31.5934,7.9086,0.0
137,143,21,136,33,0.15,43.2,7.0,226,2026-08-27 16:55:00,PT5M,18.079,38.751,28.9588,7.1992,0.0
126,132,16,127,33,0.15,43.6,6.9,226,2026-08-27 17:00:00,PT5M,16.379,35.233,26.302,6.456,0.0
116,121,9,118,33,0.15,44.1,6.9,225,2026-08-27 17:05:00,PT5M,14.69,31.746,23.6667,5.7133,0.0
106,110,3,109,33,0.15,44.6,6.9,225,2026-08-27 17:10:00,PT5M,13.03,28.3235,21.0791,4.9809,0.0
95,98,0,98,32,0.15,45.0,6.8,225,2026-08-27 17:15:00,PT5M,11.555,25.0185,18.6409,4.4691,0.0
84,87,0,87,32,0.15,45.5,6.8,225,2026-08-27 17:20:00,PT5M,10.227,21.884,16.3622,4.0918,0.0
73,76,0,76,32,0.15,46.0,6.8,225,2026-08-27 17:25:00,PT5M,8.847,18.803,14.0869,3.6071,0.0
63,65,0,65,32,0.15,46.5,6.7,224,2026-08-27 17:30:00,PT5M,7.514,15.8305,11.891,3.137,0.0
53,54,0,54,32,0.15,47.0,6.7,224,2026-08-27 17:35:00,PT5M,6.23,12.8465,9.7123,2.7477,0.0
42,44,0,44,32,0.15,47.4,6.7,224,2026-08-27 17:40:00,PT5M,4.924,9.8565,7.52,2.328,0.0
33,34,0,34,31,0.15,48.0,6.6,224,2026-08-27 17:45:00,PT5M,3.665,7.206,5.5287,1.8013,0.124
25,26,0,26,31,0.15,48.5,6.6,223,2026-08-27 17:50:00,PT5M,2.615,5.0455,3.8942,1.3358,0.1845
18,18,0,18,31,0.15,49.0,6.6,223,2026-08-27 17:55:00,PT5M,1.709,3.28,2.5358,0.8822,0.138
12,12,0,12,31,0.15,49.5,6.6,223,2026-08-27 18:00:00,PT5M,0.895,1.9025,1.4253,0.3647,0.0
6,7,0,7,31,0.15,50.0,6.5,223,2026-08-27 18:05:00,PT5M,0.18,0.5915,0.3966,0.0,0.0
2,2,0,2,31,0.15,50.6,6.5,222,2026-08-27 18:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,51.1,6.5,222,2026-08-27 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,51.6,6.4,222,2026-08-27 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,52.2,6.4,222,2026-08-27 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,52.8,6.4,221,2026-08-27 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,53.3,6.4,221,2026-08-27 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,53.9,6.3,221,2026-08-27 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,54.5,6.2,222,2026-08-27 18:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,55.1,6.2,222,2026-08-27 18:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,55.7,6.1,222,2026-08-27 18:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,56.3,6.1,222,2026-08-27 19:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,56.9,6.0,222,2026-08-27 19:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,57.5,6.0,222,2026-08-27 19:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,58.1,5.9,222,2026-08-27 19:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,58.8,5.9,222,2026-08-27 19:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,59.4,5.8,223,2026-08-27 19:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,60.1,5.8,223,2026-08-27 19:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,60.6,5.7,223,2026-08-27 19:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,61.1,5.6,223,2026-08-27 19:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,61.6,5.6,223,2026-08-27 19:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,62.1,5.5,223,2026-08-27 19:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,62.6,5.5,223,2026-08-27 19:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,63.1,5.4,223,2026-08-27 20:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,63.6,5.3,224,2026-08-27 20:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,64.1,5.3,224,2026-08-27 20:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,64.6,5.2,224,2026-08-27 20:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,65.1,5.2,224,2026-08-27 20:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,65.6,5.1,224,2026-08-27 20:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,66.2,5.1,224,2026-08-27 20:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,66.5,5.0,224,2026-08-27 20:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,66.8,5.0,224,2026-08-27 20:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.0,5.0,224,2026-08-27 20:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.2,5.0,224,2026-08-27 20:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.5,4.9,224,2026-08-27 20:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.7,4.9,225,2026-08-27 21:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.9,4.9,225,2026-08-27 21:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.2,4.9,225,2026-08-27 21:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.4,4.9,225,2026-08-27 21:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.6,4.9,225,2026-08-27 21:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.9,4.8,225,2026-08-27 21:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.1,4.8,225,2026-08-27 21:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.3,4.8,225,2026-08-27 21:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.3,4.8,225,2026-08-27 21:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.4,4.8,224,2026-08-27 21:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.5,4.7,224,2026-08-27 21:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.5,4.7,224,2026-08-27 21:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.6,4.7,224,2026-08-27 22:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.7,4.7,224,2026-08-27 22:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.7,4.7,223,2026-08-27 22:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.7,223,2026-08-27 22:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.9,4.6,223,2026-08-27 22:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.9,4.6,223,2026-08-27 22:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.0,4.6,222,2026-08-27 22:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.0,4.6,223,2026-08-27 22:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.0,4.6,223,2026-08-27 22:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.9,4.6,223,2026-08-27 22:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.9,4.6,223,2026-08-27 22:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.9,4.5,224,2026-08-27 22:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.5,224,2026-08-27 23:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.5,224,2026-08-27 23:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.5,225,2026-08-27 23:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.7,4.5,225,2026-08-27 23:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.7,4.5,225,2026-08-27 23:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.6,4.5,225,2026-08-27 23:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.6,4.5,226,2026-08-27 23:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.6,4.5,226,2026-08-27 23:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.7,4.4,226,2026-08-27 23:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.4,226,2026-08-27 23:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.4,226,2026-08-27 23:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
