gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
832,938,833,122,36,0.15,35.0,5.0,230,2026-08-20 12:50:00,PT5M,100.0,100.0,100.0,98.7345,97.5955
799,898,734,181,36,0.15,35.0,5.1,230,2026-08-20 12:55:00,PT5M,100.0,100.0,100.0,98.3369,96.84
794,893,731,182,36,0.15,34.9,5.1,229,2026-08-20 13:00:00,PT5M,100.0,100.0,100.0,98.28,96.732
789,887,728,183,36,0.15,34.9,5.2,229,2026-08-20 13:05:00,PT5M,100.0,100.0,100.0,98.2158,96.61
783,881,725,184,36,0.15,34.8,5.3,228,2026-08-20 13:10:00,PT5M,100.0,100.0,100.0,98.1471,96.4795
777,874,722,184,36,0.15,34.8,5.3,228,2026-08-20 13:15:00,PT5M,100.0,100.0,100.0,97.699,95.628
799,903,820,125,36,0.15,34.7,5.4,227,2026-08-20 13:20:00,PT5M,100.0,100.0,100.0,97.2353,94.747
763,859,715,185,37,0.15,34.7,5.4,227,2026-08-20 13:25:00,PT5M,100.0,100.0,100.0,96.7564,93.837
784,888,815,125,37,0.15,34.6,5.5,227,2026-08-20 13:30:00,PT5M,100.0,100.0,100.0,95.4861,91.4235
748,843,708,186,37,0.15,34.7,5.6,226,2026-08-20 13:35:00,PT5M,100.0,100.0,100.0,94.9775,90.457
740,834,704,186,36,0.15,34.9,5.7,226,2026-08-20 13:40:00,PT5M,99.82,100.0,100.0,94.2785,89.291
721,812,665,205,36,0.15,35.1,5.8,226,2026-08-20 13:45:00,PT5M,98.057,100.0,100.0,92.3726,87.2565
712,803,662,205,36,0.15,35.3,5.9,226,2026-08-20 13:50:00,PT5M,97.705,100.0,100.0,91.8709,86.62
685,769,591,240,36,0.15,35.4,6.0,226,2026-08-20 13:55:00,PT5M,94.26,100.0,100.0,83.077,73.012
667,747,555,256,36,0.15,35.6,6.1,226,2026-08-20 14:00:00,PT5M,92.271,100.0,100.0,80.6017,70.099
