gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
151,156,0,156,31,0.15,53.2,2.6,242,2026-08-04 15:35:00,PT5M,18.158,31.154,24.9979,11.3181,5.162
146,151,0,151,31,0.15,54.3,2.7,242,2026-08-04 15:40:00,PT5M,17.545,30.1305,24.1688,10.9212,4.9595
133,138,0,138,31,0.15,55.3,2.8,242,2026-08-04 15:45:00,PT5M,15.855,29.224,22.8912,8.8188,2.486
121,125,0,125,30,0.15,56.4,2.9,242,2026-08-04 15:50:00,PT5M,14.205,26.6635,20.762,7.648,1.7465
109,113,0,113,30,0.15,57.5,3.0,242,2026-08-04 15:55:00,PT5M,12.652,24.231,18.7461,6.5579,1.073
94,98,0,98,30,0.15,58.7,3.1,243,2026-08-04 16:00:00,PT5M,10.77,21.2425,16.2818,5.2582,0.2975
84,87,0,87,30,0.15,59.8,3.2,243,2026-08-04 16:05:00,PT5M,9.481,19.175,14.583,4.379,0.0
81,83,0,83,29,0.15,61.0,3.3,243,2026-08-04 16:10:00,PT5M,9.048,18.7075,14.1319,3.9641,0.0
74,77,0,77,29,0.15,62.2,3.4,243,2026-08-04 16:15:00,PT5M,8.283,17.4145,13.089,3.477,0.0
60,62,0,62,29,0.15,63.4,3.5,243,2026-08-04 16:20:00,PT5M,6.6,15.212,11.1326,2.0674,0.0
65,67,0,67,29,0.15,64.7,3.6,243,2026-08-04 16:25:00,PT5M,7.154,16.3005,11.9679,2.3401,0.0
61,63,0,63,28,0.15,66.0,3.7,243,2026-08-04 16:30:00,PT5M,6.752,15.5415,11.378,2.126,0.0
53,55,0,55,28,0.15,67.1,3.8,244,2026-08-04 16:35:00,PT5M,5.8,13.5415,9.8744,1.7256,0.0
48,50,0,50,28,0.15,67.9,3.8,244,2026-08-04 16:40:00,PT5M,5.271,12.6395,9.1491,1.3929,0.0
49,51,0,51,28,0.15,68.8,3.7,244,2026-08-04 16:45:00,PT5M,5.527,12.3555,9.1209,1.9331,0.0
42,44,0,44,28,0.15,69.7,3.7,245,2026-08-04 16:50:00,PT5M,4.747,11.1825,8.134,1.36,0.0
39,41,0,41,27,0.15,70.6,3.7,245,2026-08-04 16:55:00,PT5M,4.43,10.3825,7.5628,1.2972,0.0
36,38,0,38,27,0.15,71.5,3.6,245,2026-08-04 17:00:00,PT5M,4.069,9.473,6.9132,1.2248,0.0
35,36,0,36,27,0.15,72.4,3.6,246,2026-08-04 17:05:00,PT5M,3.889,9.3435,6.7597,1.0183,0.0
35,36,0,36,27,0.15,73.3,3.6,246,2026-08-04 17:10:00,PT5M,3.87,8.5645,6.3407,1.3993,0.0
34,35,0,35,27,0.15,74.3,3.6,247,2026-08-04 17:15:00,PT5M,3.793,7.8695,5.9385,1.6475,0.0
33,34,0,34,27,0.15,75.3,3.5,247,2026-08-04 17:20:00,PT5M,3.652,7.2435,5.5422,1.7618,0.0605
30,31,0,31,26,0.15,76.2,3.5,247,2026-08-04 17:25:00,PT5M,3.341,6.306,4.9015,1.7805,0.376
29,30,0,30,26,0.15,77.2,3.5,248,2026-08-04 17:30:00,PT5M,3.204,5.869,4.6066,1.8014,0.539
26,27,0,27,26,0.15,77.9,3.4,248,2026-08-04 17:35:00,PT5M,2.777,5.0285,3.962,1.592,0.5255
24,24,0,24,26,0.15,78.3,3.3,248,2026-08-04 17:40:00,PT5M,2.429,4.2485,3.3866,1.4714,0.6095
20,21,0,21,26,0.15,78.7,3.2,248,2026-08-04 17:45:00,PT5M,2.032,3.5515,2.8317,1.2323,0.5125
16,17,0,17,26,0.15,79.1,3.1,247,2026-08-04 17:50:00,PT5M,1.505,2.79,2.1813,0.8287,0.22
13,13,0,13,26,0.15,79.4,3.0,247,2026-08-04 17:55:00,PT5M,1.012,1.945,1.503,0.521,0.079
10,10,0,10,26,0.15,79.8,2.9,247,2026-08-04 18:00:00,PT5M,0.638,1.2695,0.9704,0.3056,0.0065
8,8,0,8,26,0.15,80.2,2.8,247,2026-08-04 18:05:00,PT5M,0.405,0.929,0.6808,0.1292,0.0
5,6,0,6,26,0.15,80.6,2.7,247,2026-08-04 18:10:00,PT5M,0.045,0.281,0.1692,0.0,0.0
3,3,0,3,25,0.15,81.0,2.6,247,2026-08-04 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.4,2.5,246,2026-08-04 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.8,2.4,246,2026-08-04 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.2,2.2,246,2026-08-04 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.6,2.2,246,2026-08-04 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.9,2.1,245,2026-08-04 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.2,2.1,245,2026-08-04 18:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.5,2.1,244,2026-08-04 18:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.7,2.1,244,2026-08-04 18:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.0,2.0,244,2026-08-04 19:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.3,2.0,243,2026-08-04 19:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.6,2.0,243,2026-08-04 19:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.9,1.9,242,2026-08-04 19:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,85.2,1.9,242,2026-08-04 19:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,85.5,1.9,241,2026-08-04 19:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,85.8,1.9,241,2026-08-04 19:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,85.8,1.8,240,2026-08-04 19:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,85.6,1.8,240,2026-08-04 19:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,85.3,1.8,240,2026-08-04 19:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,85.1,1.8,239,2026-08-04 19:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.8,1.8,239,2026-08-04 19:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.6,1.8,239,2026-08-04 20:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.3,1.8,238,2026-08-04 20:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,84.0,1.8,238,2026-08-04 20:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.8,1.8,238,2026-08-04 20:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.5,1.8,237,2026-08-04 20:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.3,1.8,237,2026-08-04 20:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,83.0,1.8,236,2026-08-04 20:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.8,1.8,235,2026-08-04 20:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.6,1.9,233,2026-08-04 20:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.4,1.9,232,2026-08-04 20:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.2,2.0,230,2026-08-04 20:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,82.0,2.0,228,2026-08-04 20:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.7,2.1,227,2026-08-04 21:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.5,2.1,225,2026-08-04 21:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.3,2.2,224,2026-08-04 21:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,81.1,2.2,222,2026-08-04 21:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.9,2.3,221,2026-08-04 21:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.7,2.3,220,2026-08-04 21:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.5,2.4,219,2026-08-04 21:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.3,2.4,219,2026-08-04 21:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.2,2.5,219,2026-08-04 21:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.1,2.5,219,2026-08-04 21:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,80.0,2.5,220,2026-08-04 21:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,79.8,2.5,220,2026-08-04 21:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,79.7,2.6,221,2026-08-04 22:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,79.6,2.6,221,2026-08-04 22:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,79.5,2.6,222,2026-08-04 22:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,79.3,2.7,222,2026-08-04 22:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.2,2.7,223,2026-08-04 22:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.1,2.7,223,2026-08-04 22:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.0,2.7,223,2026-08-04 22:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.9,2.7,224,2026-08-04 22:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.8,2.7,225,2026-08-04 22:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.8,2.6,226,2026-08-04 22:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.8,2.6,228,2026-08-04 22:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.7,2.5,229,2026-08-04 22:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.7,2.5,230,2026-08-04 23:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.6,2.4,231,2026-08-04 23:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.6,2.4,233,2026-08-04 23:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.6,2.3,234,2026-08-04 23:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.5,2.3,236,2026-08-04 23:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.5,2.3,237,2026-08-04 23:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.4,2.2,239,2026-08-04 23:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.4,2.2,240,2026-08-04 23:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.4,2.2,240,2026-08-04 23:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.3,2.1,240,2026-08-04 23:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.3,2.1,241,2026-08-04 23:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.2,2.1,241,2026-08-04 23:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.2,2.1,241,2026-08-05 00:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.2,2.0,241,2026-08-05 00:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.1,2.0,241,2026-08-05 00:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.1,2.0,241,2026-08-05 00:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.0,2.0,242,2026-08-05 00:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.0,2.0,242,2026-08-05 00:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,78.0,1.9,242,2026-08-05 00:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.9,1.9,243,2026-08-05 00:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.9,1.9,243,2026-08-05 00:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.8,1.9,244,2026-08-05 00:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.8,1.9,245,2026-08-05 00:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.8,1.9,246,2026-08-05 00:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,25,0.15,77.7,1.8,247,2026-08-05 01:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.7,1.8,248,2026-08-05 01:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.8,249,2026-08-05 01:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.8,250,2026-08-05 01:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.8,251,2026-08-05 01:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.5,1.8,252,2026-08-05 01:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.5,1.8,253,2026-08-05 01:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.5,1.8,254,2026-08-05 01:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.5,1.7,254,2026-08-05 01:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.5,1.7,254,2026-08-05 01:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.7,254,2026-08-05 01:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.7,254,2026-08-05 01:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.6,1.6,254,2026-08-05 02:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.7,1.6,254,2026-08-05 02:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.7,1.6,254,2026-08-05 02:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.8,1.5,254,2026-08-05 02:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.8,1.5,254,2026-08-05 02:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.8,1.5,254,2026-08-05 02:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.5,254,2026-08-05 02:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.5,254,2026-08-05 02:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,253,2026-08-05 02:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,253,2026-08-05 02:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,253,2026-08-05 02:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,252,2026-08-05 02:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,252,2026-08-05 03:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,251,2026-08-05 03:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,251,2026-08-05 03:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,250,2026-08-05 03:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,250,2026-08-05 03:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,250,2026-08-05 03:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,77.9,1.4,249,2026-08-05 03:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.0,1.4,249,2026-08-05 03:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.1,1.3,250,2026-08-05 03:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.2,1.3,251,2026-08-05 03:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.3,1.2,252,2026-08-05 03:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.4,1.2,253,2026-08-05 03:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.5,1.1,254,2026-08-05 04:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.7,1.1,255,2026-08-05 04:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.8,1.0,256,2026-08-05 04:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.9,1.0,257,2026-08-05 04:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.0,0.9,259,2026-08-05 04:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.1,0.9,260,2026-08-05 04:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.3,0.8,262,2026-08-05 04:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.3,0.8,261,2026-08-05 04:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.3,0.8,257,2026-08-05 04:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.2,0.8,253,2026-08-05 04:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.2,0.9,249,2026-08-05 04:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.1,0.9,246,2026-08-05 04:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.1,0.9,242,2026-08-05 05:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.1,0.9,239,2026-08-05 05:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.0,1.0,236,2026-08-05 05:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,79.0,1.0,233,2026-08-05 05:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,24,0.15,78.9,1.0,231,2026-08-05 05:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
