gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
0,0,0,0,25,0.15,75.6,2.7,245,2026-08-14 06:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
4,4,0,4,25,0.15,75.5,2.7,245,2026-08-14 06:10:00,PT5M,0.0,0.008,0.0042,0.0,0.0
9,10,0,10,25,0.15,75.5,2.6,246,2026-08-14 06:15:00,PT5M,0.67,0.9725,0.8292,0.5108,0.3675
15,15,0,15,25,0.15,75.4,2.6,246,2026-08-14 06:20:00,PT5M,1.485,1.964,1.7371,1.2329,1.006
26,26,0,26,25,0.15,75.3,2.6,246,2026-08-14 06:25:00,PT5M,2.793,2.9255,2.8627,2.7233,2.6605
34,35,0,35,25,0.15,75.2,2.5,246,2026-08-14 06:30:00,PT5M,3.812,4.245,4.0399,3.5841,3.379
43,44,0,44,25,0.15,74.8,2.5,246,2026-08-14 06:35:00,PT5M,5.086,5.6925,5.4052,4.7668,4.4795
54,56,0,56,25,0.15,74.1,2.5,246,2026-08-14 06:40:00,PT5M,6.708,7.2805,7.0093,6.4067,6.1355
68,71,0,71,26,0.15,73.5,2.5,246,2026-08-14 06:45:00,PT5M,8.427,9.364,8.9201,7.9339,7.49
82,85,0,85,26,0.15,72.8,2.5,246,2026-08-14 06:50:00,PT5M,10.628,14.487,12.659,8.597,6.769
94,99,15,96,26,0.15,72.1,2.5,245,2026-08-14 06:55:00,PT5M,13.928,19.503,16.8622,10.9938,8.353
105,117,63,102,26,0.15,71.4,2.5,245,2026-08-14 07:00:00,PT5M,19.257,27.5595,23.6267,14.8873,10.9545
117,132,84,111,26,0.15,70.7,2.5,245,2026-08-14 07:05:00,PT5M,22.604,31.7735,27.43,17.778,13.4345
130,150,117,118,26,0.15,70.1,2.5,245,2026-08-14 07:10:00,PT5M,25.849,35.995,31.1889,20.5091,15.703
143,165,130,127,26,0.15,69.4,2.5,244,2026-08-14 07:15:00,PT5M,29.034,40.2435,34.9336,23.1344,17.8245
156,180,142,136,27,0.15,68.8,2.5,244,2026-08-14 07:20:00,PT5M,32.279,44.5625,38.7439,25.8141,19.9955
170,199,173,141,27,0.15,68.2,2.5,244,2026-08-14 07:25:00,PT5M,35.546,48.914,42.5817,28.5103,22.178
184,215,184,150,27,0.15,67.5,2.5,244,2026-08-14 07:30:00,PT5M,40.483,54.2815,47.7452,33.2208,26.6845
198,230,195,158,27,0.15,66.8,2.5,244,2026-08-14 07:35:00,PT5M,43.902,59.4965,52.1095,35.6945,28.3075
