gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
456,525,414,242,34,0.15,41.6,6.8,224,2026-08-12 15:20:00,PT5M,77.172,98.16,88.2181,66.1259,56.184
438,503,381,248,34,0.15,41.7,6.9,224,2026-08-12 15:25:00,PT5M,74.259,100.0,90.0766,58.4414,44.205
429,496,403,233,34,0.15,41.8,7.0,224,2026-08-12 15:30:00,PT5M,75.159,100.0,90.6627,59.6553,45.7015
415,481,398,228,34,0.15,42.0,7.0,224,2026-08-12 15:35:00,PT5M,74.157,100.0,89.3702,58.9438,45.2515
401,466,394,222,34,0.15,42.5,7.0,225,2026-08-12 15:40:00,PT5M,73.176,100.0,87.9518,58.4002,45.1015
379,437,337,234,34,0.15,43.1,6.9,225,2026-08-12 15:45:00,PT5M,68.106,100.0,85.6702,50.5418,34.7335
358,409,283,243,33,0.15,43.6,6.8,226,2026-08-12 15:50:00,PT5M,62.876,97.0205,80.8465,44.9055,28.7315
342,388,256,242,33,0.15,44.1,6.8,226,2026-08-12 15:55:00,PT5M,59.571,92.313,76.8033,42.3387,26.829
331,380,274,228,33,0.15,44.6,6.7,227,2026-08-12 16:00:00,PT5M,60.308,92.674,77.3425,43.2735,27.942
320,371,292,214,33,0.15,45.2,6.6,228,2026-08-12 16:05:00,PT5M,60.991,92.6615,77.6594,44.3226,29.3205
309,361,311,201,33,0.15,45.7,6.6,228,2026-08-12 16:10:00,PT5M,61.595,92.779,78.0074,45.1826,30.411
292,340,281,200,33,0.15,46.3,6.5,229,2026-08-12 16:15:00,PT5M,57.899,88.7885,74.1564,41.6416,27.0095
278,325,274,193,33,0.15,46.8,6.4,230,2026-08-12 16:20:00,PT5M,56.219,85.616,71.6909,40.7471,26.822
260,299,223,196,32,0.15,47.4,6.4,230,2026-08-12 16:25:00,PT5M,50.328,82.9205,67.4817,33.1743,17.7355
246,284,216,188,32,0.15,48.0,6.3,231,2026-08-12 16:30:00,PT5M,48.511,79.801,64.9792,32.0428,17.221
234,273,230,176,32,0.15,48.7,6.2,231,2026-08-12 16:35:00,PT5M,48.585,78.3755,64.264,32.906,18.7945
220,257,221,168,32,0.15,49.5,6.2,230,2026-08-12 16:40:00,PT5M,45.627,73.099,60.0857,31.1683,18.155
207,246,233,156,32,0.15,50.4,6.2,230,2026-08-12 16:45:00,PT5M,44.356,68.642,57.1379,31.5741,20.07
193,230,222,148,31,0.15,51.3,6.1,229,2026-08-12 16:50:00,PT5M,41.134,63.2565,52.7772,29.4908,19.0115
177,207,171,148,31,0.15,52.2,6.1,228,2026-08-12 16:55:00,PT5M,34.769,54.957,45.3941,24.1439,14.581
164,195,180,136,31,0.15,53.1,6.1,228,2026-08-12 17:00:00,PT5M,33.216,51.1835,42.6724,23.7596,15.2485
150,173,131,133,31,0.15,54.0,6.0,227,2026-08-12 17:05:00,PT5M,27.506,45.643,37.0516,17.9604,9.369
137,156,109,125,30,0.15,55.0,6.0,226,2026-08-12 17:10:00,PT5M,23.924,38.751,31.7276,16.1204,9.097
124,140,87,117,30,0.15,55.9,6.0,226,2026-08-12 17:15:00,PT5M,20.673,33.425,27.3845,13.9615,7.921
111,119,28,112,30,0.15,56.9,5.9,225,2026-08-12 17:20:00,PT5M,15.244,27.871,21.8897,8.5983,2.617
98,104,13,101,30,0.15,57.9,5.9,224,2026-08-12 17:25:00,PT5M,12.86,23.38,18.3968,7.3232,2.34
85,89,10,87,29,0.15,58.9,5.9,223,2026-08-12 17:30:00,PT5M,10.975,18.831,15.1097,6.8403,3.119
72,75,3,75,29,0.15,59.9,5.9,223,2026-08-12 17:35:00,PT5M,8.882,15.4135,12.3196,5.4444,2.3505
58,60,0,60,29,0.15,60.7,5.8,223,2026-08-12 17:40:00,PT5M,7.024,12.218,9.7576,4.2904,1.83
45,47,0,47,29,0.15,61.5,5.8,222,2026-08-12 17:45:00,PT5M,5.335,9.33,7.4376,3.2324,1.34
35,37,0,37,29,0.15,62.3,5.8,222,2026-08-12 17:50:00,PT5M,4.03,6.9435,5.5634,2.4966,1.1165
27,28,0,28,28,0.15,63.1,5.7,222,2026-08-12 17:55:00,PT5M,2.945,4.813,3.9281,1.9619,1.077
20,21,0,21,28,0.15,63.9,5.7,222,2026-08-12 18:00:00,PT5M,2.093,3.622,2.8977,1.2883,0.564
14,14,0,14,28,0.15,64.8,5.7,222,2026-08-12 18:05:00,PT5M,1.215,2.1035,1.6826,0.7474,0.3265
8,8,0,8,28,0.15,65.7,5.7,222,2026-08-12 18:10:00,PT5M,0.412,0.887,0.662,0.162,0.0
3,3,0,3,28,0.15,66.5,5.6,221,2026-08-12 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.4,5.6,221,2026-08-12 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.3,5.6,221,2026-08-12 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.3,5.5,221,2026-08-12 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,70.0,5.5,221,2026-08-12 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,70.4,5.5,221,2026-08-12 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
