gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
758,755,416,360,34,0.14,53.0,2.4,217,2026-09-26 13:05:00,PT5M,88.877,100.0,97.7295,80.0245,72.057
752,748,413,358,34,0.14,53.1,2.5,217,2026-09-26 13:10:00,PT5M,88.502,100.0,99.3739,77.6301,67.845
745,741,410,357,34,0.14,53.1,2.5,218,2026-09-26 13:15:00,PT5M,88.093,100.0,99.4244,76.7616,66.563
737,734,407,356,34,0.14,53.1,2.5,218,2026-09-26 13:20:00,PT5M,87.653,100.0,99.1483,76.1577,65.8115
742,738,433,339,34,0.14,53.1,2.5,218,2026-09-26 13:25:00,PT5M,88.712,100.0,100.0,77.0453,66.545
734,730,430,338,34,0.14,53.1,2.6,218,2026-09-26 13:30:00,PT5M,88.23,100.0,100.0,74.9584,63.0135
713,709,398,350,34,0.14,54.1,2.6,221,2026-09-26 13:35:00,PT5M,86.252,100.0,99.3986,73.1054,61.273
704,701,396,347,33,0.14,56.3,2.7,227,2026-09-26 13:40:00,PT5M,85.891,100.0,99.4618,72.3202,60.106
683,680,365,357,33,0.14,58.6,2.8,231,2026-09-26 13:45:00,PT5M,83.851,100.0,97.0297,70.6723,58.811
674,671,363,353,32,0.14,61.0,2.9,236,2026-09-26 13:50:00,PT5M,83.41,100.0,97.5616,69.2584,56.5215
665,662,361,350,32,0.14,63.5,3.0,240,2026-09-26 13:55:00,PT5M,82.938,100.0,96.4604,69.4156,57.245
655,652,358,346,31,0.14,66.2,3.2,244,2026-09-26 14:00:00,PT5M,82.436,100.0,95.8771,68.9949,56.8975
644,641,356,342,30,0.14,68.9,3.3,247,2026-09-26 14:05:00,PT5M,81.898,100.0,96.3143,67.4817,54.5065
612,610,300,360,30,0.14,71.8,3.5,250,2026-09-26 14:10:00,PT5M,77.889,100.0,91.9911,63.7869,51.0945
601,599,298,356,29,0.14,74.7,3.7,253,2026-09-26 14:15:00,PT5M,77.236,100.0,92.5381,61.9339,48.1615
590,588,294,351,29,0.14,77.9,3.9,255,2026-09-26 14:20:00,PT5M,76.49,100.0,91.0227,61.9573,48.8775
569,567,266,356,28,0.14,81.1,4.1,258,2026-09-26 14:25:00,PT5M,73.916,100.0,89.3955,58.4365,44.5045
567,565,287,341,28,0.14,84.5,4.3,260,2026-09-26 14:30:00,PT5M,74.895,100.0,89.8905,59.8995,46.403
564,562,308,326,27,0.14,86.4,4.2,261,2026-09-26 14:35:00,PT5M,75.841,100.0,91.7747,59.9073,45.5665
542,540,279,330,27,0.14,86.6,4.0,263,2026-09-26 14:40:00,PT5M,72.981,100.0,88.4892,57.4728,43.515
530,528,275,325,27,0.14,86.9,3.8,264,2026-09-26 14:45:00,PT5M,71.942,100.0,88.3746,55.5094,40.7195
