ghi,dni,dhi,air_temp,period_end,period,power,power_p10,power_p90
0,0,0,24,2026-07-09 05:35:00,PT5M,0.0,0.0,0.0
0,0,0,24,2026-07-09 05:40:00,PT5M,0.0,0.0,0.0
0,0,0,24,2026-07-09 05:45:00,PT5M,0.0,0.0,0.0
0,0,0,24,2026-07-09 05:50:00,PT5M,0.0,0.0,0.0
0,0,0,24,2026-07-09 05:55:00,PT5M,0.0,0.0,0.0
0,0,0,25,2026-07-09 06:00:00,PT5M,0.0,0.0,0.0
2,0,2,25,2026-07-09 06:05:00,PT5M,0.0,0.0,0.0
4,0,4,25,2026-07-09 06:10:00,PT5M,0.0,0.0,0.0
7,0,7,25,2026-07-09 06:15:00,PT5M,0.171,0.321,0.021
8,0,8,25,2026-07-09 06:20:00,PT5M,0.605,0.884,0.326
14,0,14,25,2026-07-09 06:25:00,PT5M,1.307,1.7545,0.8595
20,0,20,25,2026-07-09 06:30:00,PT5M,2.337,2.8445,1.8295
26,0,26,25,2026-07-09 06:35:00,PT5M,3.344,3.816,2.872
34,0,34,25,2026-07-09 06:40:00,PT5M,4.266,5.112,3.42
41,0,41,25,2026-07-09 06:45:00,PT5M,5.302,6.192,4.412
48,0,48,25,2026-07-09 06:50:00,PT5M,6.514,7.476,5.552
58,0,58,26,2026-07-09 06:55:00,PT5M,7.602,8.7215,6.4825
68,0,68,26,2026-07-09 07:00:00,PT5M,8.899,10.079,7.719
78,0,78,26,2026-07-09 07:05:00,PT5M,10.299,11.6205,8.9775
88,0,88,26,2026-07-09 07:10:00,PT5M,11.469,13.0655,9.8725
97,0,97,26,2026-07-09 07:15:00,PT5M,12.91,14.6555,11.1645
109,0,109,26,2026-07-09 07:20:00,PT5M,14.389,16.917,11.861
120,0,120,27,2026-07-09 07:25:00,PT5M,15.907,18.565,13.249
133,0,133,27,2026-07-09 07:30:00,PT5M,17.841,22.7155,12.9665
140,0,140,27,2026-07-09 07:35:00,PT5M,19.513,23.9595,15.0665
160,0,160,27,2026-07-09 07:40:00,PT5M,21.823,30.139,13.507
175,0,175,27,2026-07-09 07:45:00,PT5M,23.863,33.179,14.547
194,1,194,28,2026-07-09 07:50:00,PT5M,26.965,40.269,13.661
211,5,208,28,2026-07-09 07:55:00,PT5M,29.762,44.403,15.121
228,11,223,28,2026-07-09 08:00:00,PT5M,34.71,51.1635,18.2565
245,19,236,28,2026-07-09 08:05:00,PT5M,38.639,55.8345,21.4435
267,33,250,28,2026-07-09 08:10:00,PT5M,42.3,61.8785,22.7215
286,58,256,29,2026-07-09 08:15:00,PT5M,46.766,66.727,26.805
305,87,259,29,2026-07-09 08:20:00,PT5M,50.381,72.247,28.515
325,117,261,29,2026-07-09 08:25:00,PT5M,53.898,76.932,30.864
347,154,260,29,2026-07-09 08:30:00,PT5M,57.679,80.876,34.482
368,184,261,29,2026-07-09 08:35:00,PT5M,60.913,85.356,36.47
391,221,259,30,2026-07-09 08:40:00,PT5M,64.073,88.77,39.376
413,253,258,30,2026-07-09 08:45:00,PT5M,67.139,92.534,41.744
435,285,255,30,2026-07-09 08:50:00,PT5M,70.107,98.258,41.956
458,321,251,30,2026-07-09 08:55:00,PT5M,71.291,99.3875,43.1945
481,354,247,31,2026-07-09 09:00:00,PT5M,72.437,100.0,44.414
504,387,243,31,2026-07-09 09:05:00,PT5M,73.528,100.0,45.596
518,394,246,31,2026-07-09 09:10:00,PT5M,74.572,100.0,46.7465
532,401,250,31,2026-07-09 09:15:00,PT5M,75.573,100.0,47.868
546,409,253,32,2026-07-09 09:20:00,PT5M,76.612,100.0,49.0525
