gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
748,849,801,125,35,0.15,40.4,6.4,225,2026-08-20 13:50:00,PT5M,100.0,100.0,100.0,100.0,100.0
738,839,798,125,35,0.15,40.7,6.3,225,2026-08-20 13:55:00,PT5M,100.0,100.0,100.0,100.0,100.0
728,829,795,125,35,0.15,41.0,6.3,225,2026-08-20 14:00:00,PT5M,100.0,100.0,100.0,99.2426,98.561
718,818,792,124,35,0.15,41.4,6.3,225,2026-08-20 14:05:00,PT5M,100.0,100.0,100.0,98.3084,96.786
707,806,788,124,35,0.15,41.7,6.3,225,2026-08-20 14:10:00,PT5M,100.0,100.0,100.0,96.9224,94.1525
696,794,785,124,34,0.15,42.0,6.2,225,2026-08-20 14:15:00,PT5M,100.0,100.0,100.0,95.4864,91.424
684,782,781,123,34,0.15,42.3,6.2,225,2026-08-20 14:20:00,PT5M,100.0,100.0,100.0,93.5756,87.7935
672,769,777,123,34,0.15,42.6,6.2,225,2026-08-20 14:25:00,PT5M,100.0,100.0,100.0,92.5078,85.7645
660,756,773,123,34,0.15,43.0,6.2,226,2026-08-20 14:30:00,PT5M,100.0,100.0,100.0,91.8501,84.515
647,743,769,122,34,0.15,43.3,6.1,226,2026-08-20 14:35:00,PT5M,100.0,100.0,100.0,91.1704,83.2235
634,729,766,121,34,0.15,43.6,6.1,226,2026-08-20 14:40:00,PT5M,100.0,100.0,100.0,91.8162,84.4505
595,680,644,176,34,0.15,43.9,6.1,226,2026-08-20 14:45:00,PT5M,94.26,100.0,100.0,85.4128,77.45
582,666,639,175,34,0.15,44.3,6.1,226,2026-08-20 14:50:00,PT5M,93.642,100.0,100.0,84.649,76.555
568,651,633,173,34,0.15,44.6,6.0,226,2026-08-20 14:55:00,PT5M,92.997,100.0,100.0,78.8909,66.195
554,636,627,172,33,0.15,44.9,6.0,226,2026-08-20 15:00:00,PT5M,92.323,100.0,100.0,78.0559,65.215
540,621,621,170,33,0.15,45.3,6.0,226,2026-08-20 15:05:00,PT5M,91.619,100.0,100.0,77.8645,65.485
525,605,614,168,33,0.15,45.6,6.0,226,2026-08-20 15:10:00,PT5M,90.884,100.0,100.0,77.354,65.1765
505,581,577,179,33,0.15,46.0,6.0,226,2026-08-20 15:15:00,PT5M,88.38,100.0,100.0,75.1052,63.1575
496,575,605,163,33,0.15,46.3,5.9,226,2026-08-20 15:20:00,PT5M,89.548,100.0,100.0,77.3414,66.355
470,542,537,185,33,0.15,46.7,5.9,226,2026-08-20 15:25:00,PT5M,85.014,100.0,99.6282,70.3998,57.2465
455,527,533,181,33,0.15,47.0,5.9,226,2026-08-20 15:30:00,PT5M,84.23,100.0,96.7408,71.7192,60.459
426,488,440,209,33,0.15,47.3,5.9,226,2026-08-20 15:35:00,PT5M,77.424,100.0,93.9461,60.9019,46.0315
400,455,374,224,33,0.15,47.4,6.0,226,2026-08-20 15:40:00,PT5M,71.737,100.0,87.872,55.602,41.08
380,430,337,228,33,0.15,47.6,6.1,226,2026-08-20 15:45:00,PT5M,68.015,99.7855,84.736,51.294,36.2445
357,401,284,235,32,0.15,47.8,6.2,226,2026-08-20 15:50:00,PT5M,62.584,94.4725,79.3671,45.8009,30.6955
329,363,206,247,32,0.15,47.9,6.3,226,2026-08-20 15:55:00,PT5M,54.345,87.368,71.7252,36.9648,21.322
309,339,171,245,32,0.15,48.1,6.4,226,2026-08-20 16:00:00,PT5M,49.737,82.5955,67.0307,32.4433,16.8785
290,316,141,241,32,0.15,48.2,6.5,226,2026-08-20 16:05:00,PT5M,45.453,77.335,62.2327,28.6733,13.571
270,291,107,237,32,0.15,48.4,6.6,226,2026-08-20 16:10:00,PT5M,40.636,71.713,56.992,24.28,9.559
253,271,88,228,32,0.15,48.6,6.7,226,2026-08-20 16:15:00,PT5M,37.158,67.7565,53.2622,21.0538,6.5595
235,251,65,220,32,0.15,48.7,6.8,226,2026-08-20 16:20:00,PT5M,33.192,62.681,48.7123,17.6717,3.703
221,236,59,209,32,0.15,48.9,6.9,226,2026-08-20 16:25:00,PT5M,31.129,59.3155,45.9638,16.2942,2.9425
205,218,53,195,32,0.15,49.1,7.0,226,2026-08-20 16:30:00,PT5M,28.702,56.2165,43.1831,14.2209,1.1875
191,203,49,182,32,0.15,49.3,7.0,226,2026-08-20 16:35:00,PT5M,26.818,52.5585,40.3654,13.2706,1.0775
177,188,45,171,32,0.15,49.7,7.0,226,2026-08-20 16:40:00,PT5M,24.891,48.6265,37.3832,12.3988,1.1555
165,175,41,160,32,0.15,50.1,7.0,226,2026-08-20 16:45:00,PT5M,23.16,44.1145,34.1885,12.1315,2.2055
153,163,37,149,32,0.15,50.6,7.0,226,2026-08-20 16:50:00,PT5M,21.356,40.9135,31.6493,11.0627,1.7985
142,150,31,139,31,0.15,51.0,7.0,226,2026-08-20 16:55:00,PT5M,19.421,37.414,28.8908,9.9512,1.428
131,138,25,130,31,0.15,51.4,7.0,226,2026-08-20 17:00:00,PT5M,17.713,34.2395,26.411,9.015,1.1865
120,126,18,121,31,0.15,51.8,7.0,226,2026-08-20 17:05:00,PT5M,15.837,30.9025,23.7661,7.9079,0.7715
110,115,12,112,31,0.15,52.2,7.0,226,2026-08-20 17:10:00,PT5M,14.173,27.7425,21.3147,7.0313,0.6035
