gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
467,485,13,474,34,0.15,42.1,5.1,227,2026-08-09 14:20:00,PT5M,55.234,83.5805,70.153,40.315,26.8875
417,432,0,432,34,0.15,42.4,5.1,227,2026-08-09 14:25:00,PT5M,51.343,91.7045,72.5855,30.1005,10.9815
410,425,0,425,34,0.15,42.6,5.1,227,2026-08-09 14:30:00,PT5M,52.328,94.0355,74.279,30.377,10.6205
387,400,0,400,34,0.15,42.8,5.1,227,2026-08-09 14:35:00,PT5M,53.476,93.8235,74.7112,32.2408,13.1285
349,361,0,361,34,0.15,42.8,5.1,227,2026-08-09 14:40:00,PT5M,52.382,92.9885,73.7535,31.0105,11.7755
335,347,0,347,34,0.15,42.9,5.1,228,2026-08-09 14:45:00,PT5M,46.535,90.526,69.6878,23.3822,2.544
314,325,0,325,34,0.15,42.9,5.1,228,2026-08-09 14:50:00,PT5M,43.784,87.3745,66.726,20.842,0.1935
321,332,0,332,34,0.15,43.0,5.2,229,2026-08-09 14:55:00,PT5M,41.113,84.558,63.9784,18.2476,0.0
274,284,0,284,34,0.15,43.0,5.2,229,2026-08-09 15:00:00,PT5M,39.326,79.0545,60.2354,18.4166,0.0
268,277,0,277,34,0.15,43.1,5.2,230,2026-08-09 15:05:00,PT5M,36.788,76.513,57.6956,15.8804,0.0
261,270,0,270,34,0.15,43.1,5.2,230,2026-08-09 15:10:00,PT5M,34.334,72.621,54.4847,14.1833,0.0
237,245,0,245,34,0.15,43.1,5.2,231,2026-08-09 15:15:00,PT5M,30.566,64.163,48.2483,12.8837,0.0
237,245,0,245,34,0.15,43.2,5.2,231,2026-08-09 15:20:00,PT5M,28.372,57.9075,43.9167,12.8273,0.0
225,233,0,233,34,0.15,43.2,5.3,232,2026-08-09 15:25:00,PT5M,26.261,69.2,48.8601,3.6619,0.0
213,221,0,221,34,0.15,43.3,5.3,232,2026-08-09 15:30:00,PT5M,23.013,56.469,40.6211,5.4049,0.0
207,214,0,214,34,0.15,43.5,5.3,233,2026-08-09 15:35:00,PT5M,22.275,53.32,38.6142,5.9358,0.0
180,187,0,187,34,0.15,44.0,5.2,234,2026-08-09 15:40:00,PT5M,19.27,37.2545,28.7354,9.8046,1.2855
174,180,0,180,33,0.15,44.5,5.2,235,2026-08-09 15:45:00,PT5M,18.035,34.3335,26.613,9.457,1.7365
168,174,0,174,33,0.15,45.0,5.2,237,2026-08-09 15:50:00,PT5M,17.336,33.849,26.0269,8.6451,0.823
162,167,0,167,33,0.15,45.5,5.1,238,2026-08-09 15:55:00,PT5M,17.116,36.25,27.1864,7.0456,0.0
151,157,0,157,33,0.15,46.0,5.1,239,2026-08-09 16:00:00,PT5M,16.401,31.3465,24.2669,8.5351,1.4555
149,154,0,154,33,0.15,46.5,5.1,240,2026-08-09 16:05:00,PT5M,15.704,38.4195,27.6593,3.7487,0.0
142,147,0,147,33,0.15,47.0,5.1,241,2026-08-09 16:10:00,PT5M,16.144,40.378,28.8985,3.3895,0.0
132,137,0,137,32,0.15,47.5,5.1,242,2026-08-09 16:15:00,PT5M,15.697,38.616,27.7594,3.6346,0.0
122,127,0,127,32,0.15,48.0,5.0,244,2026-08-09 16:20:00,PT5M,15.603,37.9935,27.3873,3.8187,0.0
118,122,0,122,32,0.15,48.6,5.0,245,2026-08-09 16:25:00,PT5M,15.443,37.166,26.876,4.01,0.0
119,123,0,123,32,0.15,49.1,5.0,246,2026-08-09 16:30:00,PT5M,15.214,36.345,26.3354,4.0926,0.0
117,121,0,121,32,0.15,49.8,5.0,246,2026-08-09 16:35:00,PT5M,14.959,34.2745,25.1249,4.7931,0.0
113,117,0,117,31,0.15,50.5,5.0,245,2026-08-09 16:40:00,PT5M,14.901,31.5975,23.6885,6.1135,0.0
109,113,0,113,31,0.15,51.3,5.0,244,2026-08-09 16:45:00,PT5M,14.739,30.4705,23.0186,6.4594,0.0
105,108,0,108,31,0.15,52.0,5.0,242,2026-08-09 16:50:00,PT5M,14.299,27.4865,21.2397,7.3583,1.1115
103,107,0,107,31,0.15,52.8,4.9,241,2026-08-09 16:55:00,PT5M,13.957,26.9225,20.7808,7.1332,0.9915
97,101,0,101,31,0.15,53.6,4.9,240,2026-08-09 17:00:00,PT5M,13.415,26.245,20.1675,6.6625,0.585
94,97,0,97,30,0.15,54.4,4.9,239,2026-08-09 17:05:00,PT5M,12.911,24.4725,18.9959,6.8261,1.3495
90,94,0,94,30,0.15,55.2,4.9,238,2026-08-09 17:10:00,PT5M,12.315,23.3325,18.1136,6.5164,1.2975
83,86,0,86,30,0.15,56.1,4.9,237,2026-08-09 17:15:00,PT5M,11.535,21.219,16.6318,6.4382,1.851
79,82,0,82,30,0.15,56.9,4.9,235,2026-08-09 17:20:00,PT5M,10.834,20.4435,15.8915,5.7765,1.2245
73,75,0,75,29,0.15,57.8,4.9,234,2026-08-09 17:25:00,PT5M,10.005,19.026,14.7528,5.2572,0.984
66,69,0,69,29,0.15,58.6,4.9,233,2026-08-09 17:30:00,PT5M,9.121,17.3735,13.4643,4.7777,0.8685
59,61,0,61,29,0.15,59.3,4.9,232,2026-08-09 17:35:00,PT5M,7.975,15.04,11.6934,4.2566,0.91
52,54,0,54,29,0.15,59.7,4.9,231,2026-08-09 17:40:00,PT5M,6.58,12.1185,9.495,3.665,1.0415
44,45,0,45,29,0.15,60.2,4.9,230,2026-08-09 17:45:00,PT5M,5.304,9.4705,7.4969,3.1111,1.1375
36,37,0,37,29,0.15,60.6,4.9,229,2026-08-09 17:50:00,PT5M,4.054,7.028,5.6192,2.4888,1.08
27,28,0,28,28,0.15,61.0,4.9,228,2026-08-09 17:55:00,PT5M,2.951,5.0175,4.0386,1.8634,0.8845
20,21,0,21,28,0.15,61.5,4.9,227,2026-08-09 18:00:00,PT5M,2.03,3.403,2.7526,1.3074,0.657
14,14,0,14,28,0.15,61.9,4.9,226,2026-08-09 18:05:00,PT5M,1.198,2.1265,1.6867,0.7093,0.2695
8,9,0,9,28,0.15,62.4,4.9,225,2026-08-09 18:10:00,PT5M,0.449,0.9905,0.734,0.164,0.0
4,4,0,4,28,0.15,62.8,4.9,224,2026-08-09 18:15:00,PT5M,0.0,0.0195,0.0103,0.0,0.0
0,0,0,0,28,0.15,63.3,4.9,223,2026-08-09 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,63.8,4.9,222,2026-08-09 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,64.2,5.0,221,2026-08-09 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,64.7,5.0,220,2026-08-09 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,65.1,5.0,221,2026-08-09 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,65.5,5.0,221,2026-08-09 18:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,65.9,5.0,222,2026-08-09 18:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,66.3,5.0,222,2026-08-09 18:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,66.8,5.0,222,2026-08-09 19:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.2,5.0,223,2026-08-09 19:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,67.6,5.0,223,2026-08-09 19:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.1,5.0,224,2026-08-09 19:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,68.5,5.0,224,2026-08-09 19:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,27,0.15,69.0,5.0,224,2026-08-09 19:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.4,4.9,225,2026-08-09 19:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,69.8,4.9,225,2026-08-09 19:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.0,4.9,225,2026-08-09 19:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.3,4.9,225,2026-08-09 19:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.6,4.8,225,2026-08-09 19:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,70.9,4.8,225,2026-08-09 19:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,26,0.15,71.2,4.8,225,2026-08-09 20:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
