gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
412,419,355,216,37,0.15,33.8,7.6,226,2026-09-01 15:50:00,PT5M,68.479,96.897,83.4356,53.5224,40.061
383,389,296,226,36,0.15,34.1,7.6,226,2026-09-01 15:55:00,PT5M,62.642,91.8505,78.0146,47.2694,33.4335
367,373,288,219,36,0.15,34.5,7.6,226,2026-09-01 16:00:00,PT5M,60.928,90.496,76.4898,45.3662,31.36
356,362,303,206,36,0.15,34.8,7.6,226,2026-09-01 16:05:00,PT5M,61.237,90.264,76.5141,45.9599,32.21
350,357,343,187,36,0.15,35.2,7.6,226,2026-09-01 16:10:00,PT5M,63.586,88.7325,76.8208,50.3512,38.4395
323,329,283,193,36,0.15,35.5,7.6,226,2026-09-01 16:15:00,PT5M,57.254,84.3475,71.5135,42.9945,30.1605
311,317,296,181,36,0.15,35.9,7.6,226,2026-09-01 16:20:00,PT5M,57.248,83.722,71.1815,43.3145,30.774
289,295,261,180,36,0.15,36.2,7.6,226,2026-09-01 16:25:00,PT5M,52.88,80.013,67.1603,38.5997,25.747
268,273,228,177,36,0.15,36.6,7.6,227,2026-09-01 16:30:00,PT5M,47.91,74.0885,61.6879,34.1321,21.7315
248,252,197,173,35,0.15,37.1,7.5,226,2026-09-01 16:35:00,PT5M,42.83,68.6105,56.3985,29.2615,17.0495
225,229,149,172,35,0.15,37.6,7.4,226,2026-09-01 16:40:00,PT5M,36.409,62.165,49.9646,22.8534,10.653
207,210,123,166,35,0.15,38.2,7.3,226,2026-09-01 16:45:00,PT5M,32.101,56.1885,44.7784,19.4236,8.0135
186,188,80,161,35,0.15,38.8,7.3,225,2026-09-01 16:50:00,PT5M,26.759,49.836,38.9046,14.6134,3.682
167,168,40,155,34,0.15,39.3,7.2,225,2026-09-01 16:55:00,PT5M,21.829,42.6885,32.8075,10.8505,0.9695
145,146,0,146,34,0.15,39.9,7.1,224,2026-09-01 17:00:00,PT5M,17.104,37.067,27.6107,6.5973,0.0
128,128,0,128,34,0.15,40.6,7.0,224,2026-09-01 17:05:00,PT5M,15.016,33.324,24.6516,5.3804,0.0
113,113,0,113,34,0.15,41.2,6.9,223,2026-09-01 17:10:00,PT5M,13.301,29.469,21.8103,4.7917,0.0
88,88,0,88,33,0.15,41.8,6.8,223,2026-09-01 17:15:00,PT5M,10.266,22.4275,16.6667,3.8653,0.0
71,71,0,71,33,0.15,42.4,6.7,223,2026-09-01 17:20:00,PT5M,8.236,18.1235,13.4399,3.0321,0.0
61,61,0,61,33,0.15,43.1,6.6,222,2026-09-01 17:25:00,PT5M,6.99,15.0645,11.2397,2.7403,0.0
49,49,0,49,33,0.15,43.8,6.6,222,2026-09-01 17:30:00,PT5M,5.468,13.09,9.4795,1.4565,0.0
48,48,0,48,33,0.15,44.4,6.5,221,2026-09-01 17:35:00,PT5M,5.439,13.0625,9.4513,1.4267,0.0
41,41,0,41,32,0.15,44.9,6.5,221,2026-09-01 17:40:00,PT5M,4.543,10.3415,7.5948,1.4912,0.0
33,33,0,33,32,0.15,45.5,6.5,221,2026-09-01 17:45:00,PT5M,3.462,7.691,5.6878,1.2362,0.0
27,27,0,27,32,0.15,46.0,6.5,221,2026-09-01 17:50:00,PT5M,2.79,5.7805,4.3639,1.2161,0.0
25,25,1,25,32,0.15,46.6,6.5,221,2026-09-01 17:55:00,PT5M,2.662,3.2565,2.9749,2.3491,2.0675
16,16,0,16,32,0.15,47.2,6.5,220,2026-09-01 18:00:00,PT5M,1.404,1.7405,1.5811,1.2269,1.0675
7,7,0,7,31,0.15,47.8,6.5,220,2026-09-01 18:05:00,PT5M,0.228,0.4155,0.3267,0.1293,0.0405
1,1,0,1,31,0.15,48.4,6.5,220,2026-09-01 18:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,49.0,6.5,220,2026-09-01 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,49.6,6.5,220,2026-09-01 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,50.3,6.5,220,2026-09-01 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,50.9,6.5,219,2026-09-01 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,51.5,6.4,219,2026-09-01 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,52.1,6.3,220,2026-09-01 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,52.8,6.2,220,2026-09-01 18:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,53.4,6.1,220,2026-09-01 18:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,54.0,6.0,221,2026-09-01 18:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,54.7,5.9,221,2026-09-01 19:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,55.3,5.8,221,2026-09-01 19:05:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,56.0,5.7,222,2026-09-01 19:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,56.7,5.6,222,2026-09-01 19:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,57.3,5.5,222,2026-09-01 19:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,58.0,5.4,223,2026-09-01 19:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,58.7,5.3,223,2026-09-01 19:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,59.5,5.2,223,2026-09-01 19:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,60.4,5.2,224,2026-09-01 19:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,61.3,5.1,224,2026-09-01 19:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,62.2,5.1,224,2026-09-01 19:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,63.1,5.0,224,2026-09-01 19:55:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,28,0.15,64.1,5.0,224,2026-09-01 20:00:00,PT5M,0.0,0.0,0.0,0.0,0.0
