ghi,dni,dhi,air_temp,period_end,period
0,0,0,27,2026-07-08 01:05:00,PT5M
0,0,0,27,2026-07-08 01:10:00,PT5M
0,0,0,27,2026-07-08 01:15:00,PT5M
0,0,0,27,2026-07-08 01:20:00,PT5M
0,0,0,27,2026-07-08 01:25:00,PT5M
0,0,0,27,2026-07-08 01:30:00,PT5M
0,0,0,27,2026-07-08 01:35:00,PT5M
0,0,0,27,2026-07-08 01:40:00,PT5M
0,0,0,27,2026-07-08 01:45:00,PT5M
0,0,0,27,2026-07-08 01:50:00,PT5M
0,0,0,27,2026-07-08 01:55:00,PT5M
0,0,0,27,2026-07-08 02:00:00,PT5M
0,0,0,27,2026-07-08 02:05:00,PT5M
0,0,0,27,2026-07-08 02:10:00,PT5M
0,0,0,27,2026-07-08 02:15:00,PT5M
0,0,0,27,2026-07-08 02:20:00,PT5M
0,0,0,27,2026-07-08 02:25:00,PT5M
0,0,0,27,2026-07-08 02:30:00,PT5M
0,0,0,27,2026-07-08 02:35:00,PT5M
0,0,0,27,2026-07-08 02:40:00,PT5M
0,0,0,27,2026-07-08 02:45:00,PT5M
0,0,0,27,2026-07-08 02:50:00,PT5M
0,0,0,27,2026-07-08 02:55:00,PT5M
0,0,0,27,2026-07-08 03:00:00,PT5M
0,0,0,27,2026-07-08 03:05:00,PT5M
0,0,0,27,2026-07-08 03:10:00,PT5M
0,0,0,27,2026-07-08 03:15:00,PT5M
0,0,0,27,2026-07-08 03:20:00,PT5M
0,0,0,27,2026-07-08 03:25:00,PT5M
0,0,0,27,2026-07-08 03:30:00,PT5M
0,0,0,27,2026-07-08 03:35:00,PT5M
0,0,0,27,2026-07-08 03:40:00,PT5M
0,0,0,27,2026-07-08 03:45:00,PT5M
0,0,0,27,2026-07-08 03:50:00,PT5M
0,0,0,27,2026-07-08 03:55:00,PT5M
0,0,0,27,2026-07-08 04:00:00,PT5M
0,0,0,27,2026-07-08 04:05:00,PT5M
0,0,0,27,2026-07-08 04:10:00,PT5M
0,0,0,27,2026-07-08 04:15:00,PT5M
0,0,0,27,2026-07-08 04:20:00,PT5M
0,0,0,27,2026-07-08 04:25:00,PT5M
0,0,0,27,2026-07-08 04:30:00,PT5M
0,0,0,27,2026-07-08 04:35:00,PT5M
0,0,0,27,2026-07-08 04:40:00,PT5M
0,0,0,27,2026-07-08 04:45:00,PT5M
0,0,0,27,2026-07-08 04:50:00,PT5M
0,0,0,27,2026-07-08 04:55:00,PT5M
0,0,0,27,2026-07-08 05:00:00,PT5M
0,0,0,26,2026-07-08 05:05:00,PT5M
0,0,0,26,2026-07-08 05:10:00,PT5M
0,0,0,26,2026-07-08 05:15:00,PT5M
0,0,0,26,2026-07-08 05:20:00,PT5M
0,0,0,26,2026-07-08 05:25:00,PT5M
0,0,0,26,2026-07-08 05:30:00,PT5M
0,0,0,26,2026-07-08 05:35:00,PT5M
0,0,0,26,2026-07-08 05:40:00,PT5M
0,0,0,26,2026-07-08 05:45:00,PT5M
0,0,0,27,2026-07-08 05:50:00,PT5M
0,0,0,27,2026-07-08 05:55:00,PT5M
0,0,0,27,2026-07-08 06:00:00,PT5M
0,0,0,27,2026-07-08 06:05:00,PT5M
3,0,3,27,2026-07-08 06:10:00,PT5M
9,0,9,27,2026-07-08 06:15:00,PT5M
16,0,16,27,2026-07-08 06:20:00,PT5M
23,0,23,27,2026-07-08 06:25:00,PT5M
32,0,32,27,2026-07-08 06:30:00,PT5M
41,0,41,27,2026-07-08 06:35:00,PT5M
51,0,51,27,2026-07-08 06:40:00,PT5M
62,12,60,27,2026-07-08 06:45:00,PT5M
74,34,68,27,2026-07-08 06:50:00,PT5M
87,57,76,27,2026-07-08 06:55:00,PT5M
101,80,84,27,2026-07-08 07:00:00,PT5M
116,104,92,27,2026-07-08 07:05:00,PT5M
131,128,99,27,2026-07-08 07:10:00,PT5M
146,147,106,27,2026-07-08 07:15:00,PT5M
162,164,114,27,2026-07-08 07:20:00,PT5M
177,179,121,27,2026-07-08 07:25:00,PT5M
192,194,128,27,2026-07-08 07:30:00,PT5M
208,209,135,27,2026-07-08 07:35:00,PT5M
224,224,142,28,2026-07-08 07:40:00,PT5M
240,238,148,28,2026-07-08 07:45:00,PT5M
257,252,155,28,2026-07-08 07:50:00,PT5M
273,265,161,28,2026-07-08 07:55:00,PT5M
289,278,166,28,2026-07-08 08:00:00,PT5M
305,290,172,28,2026-07-08 08:05:00,PT5M
322,302,177,28,2026-07-08 08:10:00,PT5M
338,313,183,28,2026-07-08 08:15:00,PT5M
354,324,188,28,2026-07-08 08:20:00,PT5M
370,334,193,28,2026-07-08 08:25:00,PT5M
386,344,197,28,2026-07-08 08:30:00,PT5M
401,353,202,28,2026-07-08 08:35:00,PT5M
416,360,207,28,2026-07-08 08:40:00,PT5M
430,366,212,28,2026-07-08 08:45:00,PT5M
444,372,217,28,2026-07-08 08:50:00,PT5M
459,377,222,28,2026-07-08 08:55:00,PT5M
472,382,227,28,2026-07-08 09:00:00,PT5M
486,387,231,28,2026-07-08 09:05:00,PT5M
499,392,236,28,2026-07-08 09:10:00,PT5M
512,396,240,28,2026-07-08 09:15:00,PT5M
525,400,245,28,2026-07-08 09:20:00,PT5M
537,404,249,28,2026-07-08 09:25:00,PT5M
550,409,252,29,2026-07-08 09:30:00,PT5M
564,417,255,29,2026-07-08 09:35:00,PT5M
579,429,255,29,2026-07-08 09:40:00,PT5M
594,441,256,29,2026-07-08 09:45:00,PT5M
609,453,256,29,2026-07-08 09:50:00,PT5M
623,465,256,29,2026-07-08 09:55:00,PT5M
637,476,255,29,2026-07-08 10:00:00,PT5M
652,488,255,29,2026-07-08 10:05:00,PT5M
665,499,254,29,2026-07-08 10:10:00,PT5M
679,510,253,29,2026-07-08 10:15:00,PT5M
691,521,252,29,2026-07-08 10:20:00,PT5M
704,531,250,29,2026-07-08 10:25:00,PT5M
717,542,249,29,2026-07-08 10:30:00,PT5M
727,548,249,29,2026-07-08 10:35:00,PT5M
735,550,251,29,2026-07-08 10:40:00,PT5M
