gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
690,700,790,106,32,0.15,46.4,5.7,231,2026-09-02 09:20:00,PT5M,100.0,100.0,100.0,100.0,100.0
705,716,795,107,32,0.15,45.5,5.7,231,2026-09-02 09:25:00,PT5M,100.0,100.0,100.0,100.0,100.0
720,731,800,108,33,0.15,44.6,5.7,231,2026-09-02 09:30:00,PT5M,100.0,100.0,100.0,100.0,100.0
735,746,803,109,33,0.15,43.8,5.8,231,2026-09-02 09:35:00,PT5M,100.0,100.0,100.0,100.0,100.0
749,760,807,110,33,0.15,43.1,5.8,231,2026-09-02 09:40:00,PT5M,100.0,100.0,100.0,100.0,100.0
763,774,810,111,33,0.15,42.5,5.8,231,2026-09-02 09:45:00,PT5M,100.0,100.0,100.0,100.0,100.0
777,787,813,112,33,0.15,41.9,5.8,231,2026-09-02 09:50:00,PT5M,100.0,100.0,100.0,100.0,100.0
790,800,816,113,34,0.15,41.2,5.9,231,2026-09-02 09:55:00,PT5M,100.0,100.0,100.0,100.0,100.0
802,813,819,114,34,0.15,40.6,5.9,231,2026-09-02 10:00:00,PT5M,100.0,100.0,100.0,100.0,100.0
815,825,821,115,34,0.15,40.0,5.9,230,2026-09-02 10:05:00,PT5M,100.0,100.0,100.0,100.0,100.0
826,837,824,116,34,0.15,39.4,5.9,230,2026-09-02 10:10:00,PT5M,100.0,100.0,100.0,100.0,100.0
838,848,826,116,34,0.15,38.8,6.0,230,2026-09-02 10:15:00,PT5M,100.0,100.0,100.0,100.0,100.0
849,859,828,117,34,0.15,38.3,6.0,230,2026-09-02 10:20:00,PT5M,100.0,100.0,100.0,100.0,100.0
859,869,830,118,35,0.15,37.7,6.0,230,2026-09-02 10:25:00,PT5M,100.0,100.0,100.0,100.0,100.0
869,879,832,119,35,0.15,37.1,6.0,230,2026-09-02 10:30:00,PT5M,100.0,100.0,100.0,98.159,96.502
879,889,834,119,35,0.15,36.7,6.0,230,2026-09-02 10:35:00,PT5M,100.0,100.0,100.0,94.6075,89.754
888,898,836,120,35,0.15,36.3,6.0,229,2026-09-02 10:40:00,PT5M,100.0,100.0,100.0,92.4172,85.5925
897,906,838,120,35,0.15,35.9,6.0,229,2026-09-02 10:45:00,PT5M,100.0,100.0,100.0,90.7383,82.4025
905,915,840,120,35,0.15,35.5,6.0,229,2026-09-02 10:50:00,PT5M,100.0,100.0,100.0,86.6842,74.6995
912,922,842,121,36,0.15,35.2,6.0,229,2026-09-02 10:55:00,PT5M,99.05,100.0,100.0,85.5897,73.475
920,929,844,121,36,0.15,34.8,6.0,229,2026-09-02 11:00:00,PT5M,97.951,100.0,100.0,84.1099,71.6525
890,899,744,182,36,0.15,34.4,5.9,228,2026-09-02 11:05:00,PT5M,97.001,100.0,100.0,83.3002,70.969
897,906,746,182,36,0.15,34.1,5.9,228,2026-09-02 11:10:00,PT5M,96.213,100.0,100.0,82.8885,70.896
