ghi,dni,dhi,air_temp,period_end,period
716,651,186,29,2026-07-08 10:05:00,PT5M
728,657,186,29,2026-07-08 10:10:00,PT5M
740,663,186,29,2026-07-08 10:15:00,PT5M
751,669,186,29,2026-07-08 10:20:00,PT5M
762,674,186,29,2026-07-08 10:25:00,PT5M
772,680,186,29,2026-07-08 10:30:00,PT5M
782,684,186,29,2026-07-08 10:35:00,PT5M
792,688,186,29,2026-07-08 10:40:00,PT5M
801,692,186,29,2026-07-08 10:45:00,PT5M
809,696,186,29,2026-07-08 10:50:00,PT5M
818,699,186,29,2026-07-08 10:55:00,PT5M
825,702,186,29,2026-07-08 11:00:00,PT5M
833,705,186,29,2026-07-08 11:05:00,PT5M
839,708,186,29,2026-07-08 11:10:00,PT5M
846,711,185,29,2026-07-08 11:15:00,PT5M
852,714,185,29,2026-07-08 11:20:00,PT5M
857,716,185,29,2026-07-08 11:25:00,PT5M
862,719,185,29,2026-07-08 11:30:00,PT5M
866,720,185,29,2026-07-08 11:35:00,PT5M
870,721,185,29,2026-07-08 11:40:00,PT5M
873,721,186,29,2026-07-08 11:45:00,PT5M
876,722,186,29,2026-07-08 11:50:00,PT5M
854,655,226,29,2026-07-08 11:55:00,PT5M
853,649,230,29,2026-07-08 12:00:00,PT5M
851,642,234,29,2026-07-08 12:05:00,PT5M
849,636,238,29,2026-07-08 12:10:00,PT5M
847,629,242,29,2026-07-08 12:15:00,PT5M
844,622,245,29,2026-07-08 12:20:00,PT5M
841,615,249,29,2026-07-08 12:25:00,PT5M
837,608,252,29,2026-07-08 12:30:00,PT5M
833,602,255,29,2026-07-08 12:35:00,PT5M
828,596,257,29,2026-07-08 12:40:00,PT5M
818,578,265,29,2026-07-08 12:45:00,PT5M
813,574,266,29,2026-07-08 12:50:00,PT5M
805,561,271,29,2026-07-08 12:55:00,PT5M
797,552,274,29,2026-07-08 13:00:00,PT5M
790,547,275,29,2026-07-08 13:05:00,PT5M
786,547,272,29,2026-07-08 13:10:00,PT5M
781,547,270,29,2026-07-08 13:15:00,PT5M
776,547,268,29,2026-07-08 13:20:00,PT5M
770,545,266,29,2026-07-08 13:25:00,PT5M
764,544,265,29,2026-07-08 13:30:00,PT5M
757,541,264,29,2026-07-08 13:35:00,PT5M
749,536,264,29,2026-07-08 13:40:00,PT5M
741,532,264,29,2026-07-08 13:45:00,PT5M
732,528,263,29,2026-07-08 13:50:00,PT5M
723,523,262,29,2026-07-08 13:55:00,PT5M
714,518,261,29,2026-07-08 14:00:00,PT5M
704,514,260,29,2026-07-08 14:05:00,PT5M
694,509,259,29,2026-07-08 14:10:00,PT5M
684,504,258,29,2026-07-08 14:15:00,PT5M
673,498,256,29,2026-07-08 14:20:00,PT5M
662,493,255,29,2026-07-08 14:25:00,PT5M
650,487,253,29,2026-07-08 14:30:00,PT5M
637,479,253,29,2026-07-08 14:35:00,PT5M
623,467,253,29,2026-07-08 14:40:00,PT5M
609,456,253,29,2026-07-08 14:45:00,PT5M
594,445,253,29,2026-07-08 14:50:00,PT5M
580,434,252,29,2026-07-08 14:55:00,PT5M
565,423,251,29,2026-07-08 15:00:00,PT5M
550,412,250,29,2026-07-08 15:05:00,PT5M
535,400,248,29,2026-07-08 15:10:00,PT5M
520,389,246,29,2026-07-08 15:15:00,PT5M
505,379,244,29,2026-07-08 15:20:00,PT5M
490,369,241,29,2026-07-08 15:25:00,PT5M
475,359,238,29,2026-07-08 15:30:00,PT5M
460,351,234,29,2026-07-08 15:35:00,PT5M
447,346,229,29,2026-07-08 15:40:00,PT5M
433,341,224,29,2026-07-08 15:45:00,PT5M
419,335,219,29,2026-07-08 15:50:00,PT5M
405,329,214,29,2026-07-08 15:55:00,PT5M
390,322,208,29,2026-07-08 16:00:00,PT5M
376,315,203,29,2026-07-08 16:05:00,PT5M
361,308,197,29,2026-07-08 16:10:00,PT5M
346,300,192,29,2026-07-08 16:15:00,PT5M
331,292,186,29,2026-07-08 16:20:00,PT5M
316,284,180,29,2026-07-08 16:25:00,PT5M
301,275,174,29,2026-07-08 16:30:00,PT5M
285,264,168,29,2026-07-08 16:35:00,PT5M
270,252,162,29,2026-07-08 16:40:00,PT5M
254,240,156,29,2026-07-08 16:45:00,PT5M
238,227,150,29,2026-07-08 16:50:00,PT5M
222,214,143,29,2026-07-08 16:55:00,PT5M
207,200,137,29,2026-07-08 17:00:00,PT5M
