gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
232,233,0,233,32,0.15,60.0,6.3,239,2026-09-20 11:35:00,PT5M,35.224,41.1325,38.3337,32.1143,29.3155
225,226,0,226,32,0.15,59.7,6.3,240,2026-09-20 11:40:00,PT5M,34.308,39.753,37.1737,31.4423,28.863
226,226,0,226,32,0.15,59.5,6.3,241,2026-09-20 11:45:00,PT5M,34.385,41.487,38.1228,30.6472,27.283
226,227,0,227,32,0.15,59.3,6.3,241,2026-09-20 11:50:00,PT5M,33.428,40.0015,36.8877,29.9683,26.8545
226,227,0,227,32,0.15,59.0,6.3,242,2026-09-20 11:55:00,PT5M,32.457,38.9065,35.8514,29.0626,26.0075
226,227,0,227,32,0.15,58.8,6.3,243,2026-09-20 12:00:00,PT5M,33.468,42.6975,38.3256,28.6104,24.2385
226,227,0,227,32,0.15,58.6,6.3,244,2026-09-20 12:05:00,PT5M,32.451,43.2975,38.1596,26.7424,21.6045
226,227,0,227,32,0.15,58.3,6.3,244,2026-09-20 12:10:00,PT5M,31.423,43.239,37.6418,25.2042,19.607
226,226,0,226,32,0.15,58.1,6.3,245,2026-09-20 12:15:00,PT5M,30.387,42.7345,36.8856,23.8884,18.0395
225,226,0,226,32,0.15,57.9,6.3,246,2026-09-20 12:20:00,PT5M,29.346,42.0885,36.0525,22.6395,16.6035
217,218,0,218,32,0.15,57.6,6.4,247,2026-09-20 12:25:00,PT5M,28.303,41.839,35.4271,21.1789,14.767
216,217,0,217,32,0.15,57.4,6.4,247,2026-09-20 12:30:00,PT5M,26.329,40.4695,33.7712,18.8868,12.1885
208,208,0,208,32,0.15,57.6,6.4,248,2026-09-20 12:35:00,PT5M,25.31,40.712,33.4162,17.2038,9.908
200,200,0,200,32,0.15,58.1,6.3,247,2026-09-20 12:40:00,PT5M,25.202,46.153,36.2287,14.1753,4.251
191,192,0,192,32,0.15,58.6,6.3,247,2026-09-20 12:45:00,PT5M,24.181,41.448,33.2687,15.0933,6.914
183,184,0,184,32,0.15,59.2,6.3,246,2026-09-20 12:50:00,PT5M,23.145,39.764,31.8917,14.3983,6.526
189,190,0,190,32,0.15,59.7,6.3,246,2026-09-20 12:55:00,PT5M,22.113,37.0285,29.9631,14.2629,7.1975
181,181,0,181,32,0.15,60.3,6.3,245,2026-09-20 13:00:00,PT5M,21.117,34.081,27.94,14.294,8.153
173,173,0,173,31,0.15,60.8,6.3,245,2026-09-20 13:05:00,PT5M,20.158,33.3745,27.1139,13.2021,6.9415
171,172,0,172,31,0.15,61.4,6.3,244,2026-09-20 13:10:00,PT5M,19.173,32.119,25.9866,12.3594,6.227
163,164,0,164,31,0.15,61.9,6.3,244,2026-09-20 13:15:00,PT5M,18.196,30.8635,24.863,11.529,5.5285
155,156,0,156,31,0.15,62.5,6.2,243,2026-09-20 13:20:00,PT5M,18.013,32.2955,25.53,10.496,3.7305
147,148,0,148,31,0.15,63.1,6.2,243,2026-09-20 13:25:00,PT5M,19.591,34.5935,27.4869,11.6951,4.5885
140,140,0,140,31,0.15,63.7,6.2,242,2026-09-20 13:30:00,PT5M,21.239,37.8565,29.9849,12.4931,4.6215
138,139,0,139,31,0.15,63.8,6.2,242,2026-09-20 13:35:00,PT5M,23.619,42.2195,33.4086,13.8294,5.0185
144,145,0,145,31,0.15,63.5,6.2,242,2026-09-20 13:40:00,PT5M,25.28,44.9425,35.6285,14.9315,5.6175
157,157,0,157,31,0.15,63.3,6.1,243,2026-09-20 13:45:00,PT5M,26.967,47.9235,37.9966,15.9374,6.0105
170,170,0,170,31,0.15,63.0,6.1,243,2026-09-20 13:50:00,PT5M,28.675,49.7495,39.7667,17.5833,7.6005
183,183,0,183,31,0.15,62.7,6.0,243,2026-09-20 13:55:00,PT5M,30.397,51.304,41.4005,19.3935,9.49
196,197,0,197,31,0.15,62.4,6.0,243,2026-09-20 14:00:00,PT5M,32.618,53.716,43.722,21.514,11.52
210,210,0,210,31,0.15,62.1,6.0,243,2026-09-20 14:05:00,PT5M,34.301,55.8285,45.6311,22.9709,12.7735
228,228,0,228,31,0.15,61.8,5.9,243,2026-09-20 14:10:00,PT5M,35.975,57.6525,47.384,24.566,14.2975
241,242,0,242,31,0.15,61.6,5.9,244,2026-09-20 14:15:00,PT5M,37.638,59.771,49.2868,25.9892,15.505
255,256,0,256,31,0.15,61.3,5.9,244,2026-09-20 14:20:00,PT5M,39.581,63.3845,52.109,27.053,15.7775
272,272,0,272,31,0.15,61.0,5.8,244,2026-09-20 14:25:00,PT5M,41.477,66.9225,54.8691,28.0849,16.0315
288,289,0,289,31,0.15,60.7,5.8,244,2026-09-20 14:30:00,PT5M,43.578,70.952,57.9851,29.1709,16.204
301,302,0,302,31,0.15,60.8,5.8,245,2026-09-20 14:35:00,PT5M,45.886,75.446,61.4436,30.3284,16.326
316,317,0,317,31,0.15,61.1,5.8,245,2026-09-20 14:40:00,PT5M,48.869,81.114,65.8398,31.8982,16.624
333,334,17,321,31,0.15,61.5,5.7,245,2026-09-20 14:45:00,PT5M,52.177,87.054,70.533,33.821,17.3
349,350,39,321,31,0.15,61.8,5.7,246,2026-09-20 14:50:00,PT5M,56.016,95.236,76.6578,35.3742,16.796
364,365,67,317,31,0.15,62.2,5.7,246,2026-09-20 14:55:00,PT5M,54.674,94.213,75.4837,33.8643,15.135
378,379,101,307,30,0.15,62.6,5.7,247,2026-09-20 15:00:00,PT5M,53.304,93.0515,74.2234,32.3846,13.5565
392,393,144,293,30,0.15,62.9,5.7,247,2026-09-20 15:05:00,PT5M,51.971,91.693,72.877,31.065,12.249
380,380,138,287,30,0.15,63.3,5.7,247,2026-09-20 15:10:00,PT5M,50.598,90.276,71.4808,29.7152,10.92
368,368,133,281,30,0.15,63.6,5.7,248,2026-09-20 15:15:00,PT5M,49.185,88.7985,70.0339,28.3361,9.5715
355,356,127,274,30,0.15,64.0,5.7,248,2026-09-20 15:20:00,PT5M,47.723,87.251,68.5269,26.9191,8.195
343,343,121,268,30,0.15,64.4,5.7,249,2026-09-20 15:25:00,PT5M,46.208,85.6345,66.9584,25.4576,6.7815
330,331,115,261,30,0.15,64.8,5.7,249,2026-09-20 15:30:00,PT5M,44.645,83.8805,65.2949,23.9951,5.4095
317,318,109,254,30,0.15,65.3,5.5,249,2026-09-20 15:35:00,PT5M,43.046,82.16,63.632,22.46,3.932
305,305,103,246,30,0.15,66.1,5.3,249,2026-09-20 15:40:00,PT5M,41.655,80.6495,62.1781,21.1319,2.6605
292,292,98,238,30,0.15,66.9,5.1,249,2026-09-20 15:45:00,PT5M,40.019,78.7835,60.421,19.617,1.2545
279,279,92,230,30,0.15,67.7,4.8,249,2026-09-20 15:50:00,PT5M,38.338,76.7925,58.5769,18.0991,0.0
266,266,86,222,29,0.15,68.5,4.6,249,2026-09-20 15:55:00,PT5M,36.613,74.68,56.6479,16.5781,0.0
253,253,80,213,29,0.15,69.3,4.3,248,2026-09-20 16:00:00,PT5M,34.845,72.4575,54.6407,15.0493,0.0
240,240,74,205,29,0.15,70.1,4.1,248,2026-09-20 16:05:00,PT5M,33.036,70.1375,52.5628,13.5092,0.0
227,227,67,196,29,0.15,71.0,3.8,248,2026-09-20 16:10:00,PT5M,31.19,67.7325,50.4226,11.9574,0.0
214,215,61,188,29,0.15,71.8,3.6,248,2026-09-20 16:15:00,PT5M,29.309,65.2505,48.2253,10.3927,0.0
201,202,55,179,29,0.15,72.7,3.3,247,2026-09-20 16:20:00,PT5M,27.446,61.9615,45.6118,9.2802,0.0
189,189,48,170,29,0.15,73.5,3.1,247,2026-09-20 16:25:00,PT5M,25.532,57.8315,42.5315,8.5325,0.0
176,177,42,161,29,0.15,74.4,2.9,247,2026-09-20 16:30:00,PT5M,23.574,53.7285,39.4445,7.7035,0.0
164,164,35,152,29,0.15,75.1,2.8,245,2026-09-20 16:35:00,PT5M,21.626,49.641,36.3705,6.8815,0.0
152,152,28,143,29,0.15,75.5,3.0,242,2026-09-20 16:40:00,PT5M,19.7,45.5625,33.3116,6.0884,0.0
140,140,20,134,28,0.15,75.9,3.1,240,2026-09-20 16:45:00,PT5M,17.912,41.6235,30.3915,5.4325,0.0
128,128,12,125,28,0.15,76.3,3.3,238,2026-09-20 16:50:00,PT5M,15.993,37.566,27.347,4.639,0.0
116,117,4,115,28,0.15,76.7,3.5,237,2026-09-20 16:55:00,PT5M,14.122,33.581,24.3634,3.8806,0.0
105,105,0,105,28,0.15,77.1,3.7,235,2026-09-20 17:00:00,PT5M,12.511,29.9025,21.6643,3.3577,0.0
