gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
643,729,513,280,37,0.15,33.1,3.6,244,2026-08-13 14:05:00,PT5M,90.083,100.0,98.5871,81.5789,73.925
618,696,448,309,37,0.15,33.1,3.7,244,2026-08-13 14:10:00,PT5M,86.35,100.0,99.0606,73.6394,62.1995
616,696,474,292,37,0.15,33.1,3.7,243,2026-08-13 14:15:00,PT5M,87.305,100.0,99.3356,75.2744,64.4465
605,685,469,290,37,0.15,33.1,3.7,242,2026-08-13 14:20:00,PT5M,86.647,100.0,99.0447,74.2493,63.091
595,673,464,287,37,0.15,33.1,3.7,242,2026-08-13 14:25:00,PT5M,85.957,100.0,98.4634,73.4506,62.1945
577,651,430,298,37,0.15,33.1,3.7,241,2026-08-13 14:30:00,PT5M,83.575,100.0,97.64,69.51,56.851
565,639,425,295,37,0.15,33.2,3.7,240,2026-08-13 14:35:00,PT5M,82.798,100.0,96.9578,68.6382,55.894
554,627,421,292,37,0.15,33.5,3.7,239,2026-08-13 14:40:00,PT5M,82.041,100.0,95.3816,68.7004,56.6935
542,614,416,288,37,0.15,33.8,3.7,237,2026-08-13 14:45:00,PT5M,81.252,100.0,95.1689,67.3351,54.8095
530,601,411,285,37,0.15,34.2,3.7,236,2026-08-13 14:50:00,PT5M,80.43,100.0,95.9674,64.8926,50.9085
518,588,406,281,36,0.15,34.5,3.7,235,2026-08-13 14:55:00,PT5M,79.574,100.0,96.3906,62.7574,47.622
505,574,401,277,36,0.15,34.8,3.8,233,2026-08-13 15:00:00,PT5M,78.682,100.0,95.9207,61.4433,45.928
493,560,396,272,36,0.15,35.1,3.8,232,2026-08-13 15:05:00,PT5M,77.754,100.0,95.204,60.304,44.5985
464,521,311,299,36,0.15,35.5,3.8,231,2026-08-13 15:10:00,PT5M,71.24,100.0,92.2552,50.2248,31.3105
447,499,282,302,36,0.15,35.8,3.8,229,2026-08-13 15:15:00,PT5M,68.372,100.0,89.589,47.155,28.059
434,486,279,295,36,0.15,36.1,3.9,228,2026-08-13 15:20:00,PT5M,67.362,100.0,88.6177,46.1063,26.9755
422,473,275,289,36,0.15,36.5,3.9,227,2026-08-13 15:25:00,PT5M,66.314,100.0,87.5865,45.0415,25.8955
409,459,272,282,36,0.15,36.8,3.9,226,2026-08-13 15:30:00,PT5M,65.226,100.0,86.0114,44.4406,25.733
392,438,244,283,35,0.15,37.3,3.9,226,2026-08-13 15:35:00,PT5M,62.123,100.0,82.7874,41.4586,22.86
379,424,239,276,35,0.15,37.8,3.8,227,2026-08-13 15:40:00,PT5M,60.912,99.224,81.0759,40.7481,22.6
366,410,235,268,35,0.15,38.4,3.6,228,2026-08-13 15:45:00,PT5M,59.617,98.539,80.1019,39.1321,20.695
349,389,207,268,35,0.15,39.0,3.5,230,2026-08-13 15:50:00,PT5M,56.248,94.4335,76.3453,36.1507,18.0625
331,366,177,266,35,0.15,39.6,3.4,232,2026-08-13 15:55:00,PT5M,52.256,90.3045,72.2812,32.2308,14.2075
316,350,167,258,35,0.15,40.2,3.3,234,2026-08-13 16:00:00,PT5M,50.191,87.4725,69.8125,30.5695,12.9095
302,333,157,249,34,0.15,40.8,3.1,236,2026-08-13 16:05:00,PT5M,48.05,84.978,67.4855,28.6145,11.122
287,317,147,241,34,0.15,41.4,3.0,238,2026-08-13 16:10:00,PT5M,45.825,82.005,64.8668,26.7832,9.645
270,297,124,235,34,0.15,42.0,2.9,240,2026-08-13 16:15:00,PT5M,42.179,77.434,60.734,23.624,6.924
256,280,115,225,34,0.15,42.7,2.8,242,2026-08-13 16:20:00,PT5M,40.16,74.358,58.1587,22.1613,5.962
243,267,116,214,34,0.15,43.3,2.7,245,2026-08-13 16:25:00,PT5M,38.726,71.8685,56.1691,21.2829,5.5835
228,249,97,206,34,0.15,44.0,2.6,248,2026-08-13 16:30:00,PT5M,35.52,68.2325,52.7368,18.3032,2.8075
215,235,95,195,33,0.15,44.6,2.5,250,2026-08-13 16:35:00,PT5M,33.921,65.4775,50.5294,17.3126,2.3645
201,219,84,185,33,0.15,45.1,2.3,252,2026-08-13 16:40:00,PT5M,31.207,59.9775,46.3491,16.0649,2.4365
187,203,72,175,33,0.15,45.7,2.2,254,2026-08-13 16:45:00,PT5M,28.459,54.9715,42.4127,14.5053,1.9465
173,187,61,165,33,0.15,46.2,2.0,257,2026-08-13 16:50:00,PT5M,25.757,50.2525,38.6492,12.8648,1.2615
159,171,49,154,33,0.15,46.8,1.9,260,2026-08-13 16:55:00,PT5M,22.981,45.475,34.8198,11.1422,0.487
145,156,40,143,33,0.15,47.3,1.8,263,2026-08-13 17:00:00,PT5M,20.506,40.9355,31.2582,9.7538,0.0765
133,141,31,132,32,0.15,47.9,1.6,267,2026-08-13 17:05:00,PT5M,18.208,36.615,27.8957,8.5203,0.0
120,127,19,122,32,0.15,48.5,1.5,271,2026-08-13 17:10:00,PT5M,15.946,32.4015,24.6066,7.2854,0.0
109,114,7,112,32,0.15,49.1,1.4,277,2026-08-13 17:15:00,PT5M,13.719,28.347,21.4178,6.0202,0.0
97,100,0,100,32,0.15,49.7,1.3,283,2026-08-13 17:20:00,PT5M,11.778,24.652,18.5537,5.0023,0.0
85,88,0,88,32,0.15,50.3,1.2,289,2026-08-13 17:25:00,PT5M,10.313,21.52,16.2113,4.4147,0.0
73,76,0,76,32,0.15,50.9,1.2,297,2026-08-13 17:30:00,PT5M,8.838,18.4615,13.9029,3.7731,0.0
62,64,0,64,32,0.15,51.5,1.1,299,2026-08-13 17:35:00,PT5M,7.411,15.546,11.6925,3.1295,0.0
52,54,0,54,31,0.15,52.1,1.1,296,2026-08-13 17:40:00,PT5M,6.153,12.872,9.6893,2.6167,0.0
43,44,0,44,31,0.15,52.8,1.0,292,2026-08-13 17:45:00,PT5M,4.963,10.2765,7.7595,2.1665,0.0
34,35,0,35,31,0.15,53.4,1.0,287,2026-08-13 17:50:00,PT5M,3.788,7.822,5.9111,1.6649,0.0
26,27,0,27,31,0.15,54.1,0.9,282,2026-08-13 17:55:00,PT5M,2.777,5.703,4.317,1.237,0.0
19,20,0,20,31,0.15,54.7,0.9,276,2026-08-13 18:00:00,PT5M,1.9,3.8555,2.9292,0.8708,0.0
13,13,0,13,31,0.15,55.4,0.8,270,2026-08-13 18:05:00,PT5M,1.087,2.257,1.7028,0.4712,0.0
8,8,0,8,30,0.15,56.1,0.8,264,2026-08-13 18:10:00,PT5M,0.339,0.85,0.6079,0.0701,0.0
3,3,0,3,30,0.15,56.8,0.8,257,2026-08-13 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,57.5,0.8,250,2026-08-13 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,58.2,0.8,244,2026-08-13 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,58.9,0.8,237,2026-08-13 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,59.4,0.9,232,2026-08-13 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,59.8,1.1,228,2026-08-13 18:40:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,60.2,1.2,225,2026-08-13 18:45:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,29,0.15,60.6,1.4,222,2026-08-13 18:50:00,PT5M,0.0,0.0,0.0,0.0,0.0
