ghi,dni,dhi,air_temp,period_end,period,power,power_p10,power_p90
350,309,196,29,2026-07-10 08:10:00,PT5M,60.366,67.504,53.228
372,343,195,29,2026-07-10 08:15:00,PT5M,64.226,78.0805,50.3715
388,353,200,29,2026-07-10 08:20:00,PT5M,65.914,79.7415,52.0865
404,362,205,29,2026-07-10 08:25:00,PT5M,67.479,82.19,52.768
413,345,218,30,2026-07-10 08:30:00,PT5M,68.946,85.4425,52.4495
435,379,214,30,2026-07-10 08:35:00,PT5M,68.326,80.125,56.527
451,387,219,30,2026-07-10 08:40:00,PT5M,71.579,81.331,61.827
459,368,233,30,2026-07-10 08:45:00,PT5M,72.788,87.8165,57.7595
474,374,238,30,2026-07-10 08:50:00,PT5M,73.93,89.715,58.145
488,381,243,31,2026-07-10 08:55:00,PT5M,75.016,88.769,61.263
503,387,247,31,2026-07-10 09:00:00,PT5M,76.05,94.034,58.066
525,420,241,31,2026-07-10 09:05:00,PT5M,77.036,89.821,64.251
539,426,245,31,2026-07-10 09:10:00,PT5M,77.976,93.009,62.943
553,432,249,32,2026-07-10 09:15:00,PT5M,78.871,94.584,63.158
567,438,252,32,2026-07-10 09:20:00,PT5M,79.815,93.5625,66.0675
580,445,255,32,2026-07-10 09:25:00,PT5M,82.485,96.8595,68.1105
594,452,258,32,2026-07-10 09:30:00,PT5M,81.633,94.9255,68.3405
607,459,260,32,2026-07-10 09:35:00,PT5M,82.486,92.6925,72.2795
630,495,249,33,2026-07-10 09:40:00,PT5M,83.306,96.1595,70.4525
643,501,251,33,2026-07-10 09:45:00,PT5M,84.09,96.731,71.449
655,508,253,33,2026-07-10 09:50:00,PT5M,84.837,97.27,72.404
667,514,254,33,2026-07-10 09:55:00,PT5M,85.786,100.0,70.197
679,520,256,33,2026-07-10 10:00:00,PT5M,85.299,100.0,62.4785
680,494,272,33,2026-07-10 10:05:00,PT5M,86.263,100.0,60.879
692,504,271,34,2026-07-10 10:10:00,PT5M,87.177,100.0,59.2155
704,514,269,34,2026-07-10 10:15:00,PT5M,86.967,100.0,57.4805
698,475,291,34,2026-07-10 10:20:00,PT5M,85.925,100.0,55.751
710,489,287,34,2026-07-10 10:25:00,PT5M,86.136,100.0,56.5295
714,482,293,34,2026-07-10 10:30:00,PT5M,85.686,100.0,56.0855
711,458,307,34,2026-07-10 10:35:00,PT5M,85.468,100.0,56.1365
717,456,310,35,2026-07-10 10:40:00,PT5M,86.076,100.0,57.201
723,457,312,35,2026-07-10 10:45:00,PT5M,86.779,100.0,57.927
723,447,319,35,2026-07-10 10:50:00,PT5M,87.574,100.0,58.6225
731,454,317,35,2026-07-10 10:55:00,PT5M,88.463,100.0,59.6405
740,464,314,35,2026-07-10 11:00:00,PT5M,89.743,100.0,61.5295
749,476,309,35,2026-07-10 11:05:00,PT5M,90.677,100.0,62.6415
763,497,300,35,2026-07-10 11:10:00,PT5M,91.738,100.0,63.895
773,512,294,35,2026-07-10 11:15:00,PT5M,92.98,100.0,65.254
784,530,286,36,2026-07-10 11:20:00,PT5M,94.17,100.0,66.5855
797,552,276,36,2026-07-10 11:25:00,PT5M,94.079,100.0,66.504
810,575,266,36,2026-07-10 11:30:00,PT5M,93.964,100.0,66.3695
821,592,257,36,2026-07-10 11:35:00,PT5M,93.66,100.0,66.0095
818,582,264,36,2026-07-10 11:40:00,PT5M,93.17,100.0,65.427
816,571,270,36,2026-07-10 11:45:00,PT5M,92.662,100.0,64.8145
813,560,276,36,2026-07-10 11:50:00,PT5M,92.135,100.0,64.17
809,549,282,36,2026-07-10 11:55:00,PT5M,91.589,100.0,63.4925
805,538,287,36,2026-07-10 12:00:00,PT5M,91.022,100.0,62.7805
800,527,293,37,2026-07-10 12:05:00,PT5M,90.475,100.0,62.076
795,516,298,37,2026-07-10 12:10:00,PT5M,89.862,100.0,61.292
790,505,304,37,2026-07-10 12:15:00,PT5M,89.291,100.0,60.5375
784,494,309,37,2026-07-10 12:20:00,PT5M,88.736,100.0,59.786
778,483,314,37,2026-07-10 12:25:00,PT5M,88.157,100.0,58.9995
771,472,318,37,2026-07-10 12:30:00,PT5M,87.552,100.0,58.176
765,463,322,37,2026-07-10 12:35:00,PT5M,87.034,100.0,57.5255
759,456,324,37,2026-07-10 12:40:00,PT5M,86.605,100.0,57.022
753,448,326,37,2026-07-10 12:45:00,PT5M,86.149,100.0,56.4885
747,441,328,37,2026-07-10 12:50:00,PT5M,85.666,100.0,55.9265
740,434,330,37,2026-07-10 12:55:00,PT5M,85.155,100.0,55.3325
733,426,332,37,2026-07-10 13:00:00,PT5M,84.615,100.0,54.706
726,419,333,37,2026-07-10 13:05:00,PT5M,84.034,100.0,54.022
718,411,334,37,2026-07-10 13:10:00,PT5M,83.425,100.0,53.3085
710,404,335,37,2026-07-10 13:15:00,PT5M,82.803,100.0,52.599
702,396,336,37,2026-07-10 13:20:00,PT5M,82.167,100.0,51.89
693,389,337,37,2026-07-10 13:25:00,PT5M,81.478,100.0,51.103
684,381,337,37,2026-07-10 13:30:00,PT5M,80.752,100.0,50.277
674,373,337,37,2026-07-10 13:35:00,PT5M,79.986,100.0,49.3545
664,365,337,37,2026-07-10 13:40:00,PT5M,79.181,100.0,48.34
654,358,336,37,2026-07-10 13:45:00,PT5M,78.346,100.0,47.2995
643,350,335,37,2026-07-10 13:50:00,PT5M,77.418,100.0,46.17
632,342,334,37,2026-07-10 13:55:00,PT5M,76.524,100.0,45.0775
621,335,333,37,2026-07-10 14:00:00,PT5M,75.6,100.0,43.9595
610,327,331,37,2026-07-10 14:05:00,PT5M,74.646,100.0,42.815
598,319,329,37,2026-07-10 14:10:00,PT5M,73.662,100.0,41.6435
586,312,327,37,2026-07-10 14:15:00,PT5M,72.645,100.0,40.444
574,304,324,37,2026-07-10 14:20:00,PT5M,71.598,100.0,39.2175
562,296,322,36,2026-07-10 14:25:00,PT5M,70.485,100.0,37.921
549,288,319,36,2026-07-10 14:30:00,PT5M,69.329,100.0,36.6015
535,276,317,36,2026-07-10 14:35:00,PT5M,67.904,100.0,34.9255
519,262,316,36,2026-07-10 14:40:00,PT5M,66.205,99.503,32.907
