gti,ghi,dni,dhi,air_temp,albedo,relative_humidity,wind_speed_10m,wind_direction_10m,period_end,period,power,power_p10,power_p25,power_p75,power_p90
584,657,748,119,37,0.15,28.3,6.4,226,2026-08-30 15:05:00,PT5M,98.034,98.034,98.034,98.034,98.034
568,640,741,118,37,0.15,28.6,6.5,226,2026-08-30 15:10:00,PT5M,97.418,100.0,99.1851,95.6509,94.0605
552,623,735,117,37,0.15,28.8,6.6,226,2026-08-30 15:15:00,PT5M,96.768,100.0,99.0453,94.4907,92.441
536,606,728,116,37,0.15,29.1,6.7,226,2026-08-30 15:20:00,PT5M,96.08,99.517,97.8889,94.2711,92.643
519,589,720,115,37,0.15,29.3,6.7,226,2026-08-30 15:25:00,PT5M,95.353,98.8305,97.1832,93.5228,91.8755
503,571,713,114,37,0.15,29.5,6.8,226,2026-08-30 15:30:00,PT5M,94.581,100.0,98.522,90.64,87.093
486,553,706,112,37,0.15,29.8,6.9,225,2026-08-30 15:35:00,PT5M,93.826,100.0,97.2841,90.3679,87.2555
469,535,700,110,37,0.15,30.1,6.9,225,2026-08-30 15:40:00,PT5M,93.089,99.7375,96.5882,89.5898,86.4405
452,517,694,108,37,0.15,30.5,6.8,224,2026-08-30 15:45:00,PT5M,92.167,98.829,95.6733,88.6607,85.505
434,499,687,106,36,0.15,30.8,6.8,224,2026-08-30 15:50:00,PT5M,91.294,100.0,95.9463,86.6417,82.4545
417,480,680,103,36,0.15,31.1,6.8,223,2026-08-30 15:55:00,PT5M,90.26,98.12,94.3968,86.1232,82.4
399,462,672,101,36,0.15,31.5,6.8,223,2026-08-30 16:00:00,PT5M,89.082,95.942,92.6925,85.4715,82.222
381,443,664,98,36,0.15,31.8,6.8,222,2026-08-30 16:05:00,PT5M,87.762,93.6075,90.8385,84.6855,81.9165
363,424,656,96,36,0.15,32.2,6.8,222,2026-08-30 16:10:00,PT5M,86.316,93.259,89.9702,82.6618,79.373
345,404,647,93,36,0.15,32.5,6.8,221,2026-08-30 16:15:00,PT5M,84.763,91.7375,88.4337,81.0923,77.7885
327,385,637,91,35,0.15,32.9,6.8,220,2026-08-30 16:20:00,PT5M,83.118,91.1915,87.3671,78.8689,75.0445
309,366,627,88,35,0.15,33.2,6.8,220,2026-08-30 16:25:00,PT5M,81.394,90.5685,86.2226,76.5654,72.2195
291,346,616,85,35,0.15,33.6,6.8,219,2026-08-30 16:30:00,PT5M,78.553,89.635,84.3855,72.7205,67.471
272,326,602,83,35,0.15,34.0,6.8,219,2026-08-30 16:35:00,PT5M,73.726,89.0055,81.7677,65.6843,58.4465
254,306,586,81,35,0.15,34.4,6.7,219,2026-08-30 16:40:00,PT5M,62.207,85.561,74.4984,49.9156,38.853
235,286,569,79,35,0.15,34.8,6.6,219,2026-08-30 16:45:00,PT5M,56.112,78.282,67.7802,44.4438,33.942
208,248,421,103,34,0.15,35.3,6.5,219,2026-08-30 16:50:00,PT5M,48.626,70.7545,60.2724,36.9796,26.4975
191,229,405,98,34,0.15,35.7,6.5,219,2026-08-30 16:55:00,PT5M,42.247,62.7305,53.0276,31.4664,21.7635
171,204,338,102,34,0.15,36.1,6.4,219,2026-08-30 17:00:00,PT5M,35.282,54.461,45.376,25.188,16.103
152,178,254,106,34,0.15,36.6,6.3,219,2026-08-30 17:05:00,PT5M,29.276,47.4115,38.8208,19.7312,11.1405
134,155,192,105,34,0.15,37.0,6.2,218,2026-08-30 17:10:00,PT5M,24.127,39.975,32.4679,15.7861,8.279
117,132,118,103,33,0.15,37.5,6.1,218,2026-08-30 17:15:00,PT5M,19.493,33.4755,26.8521,12.1339,5.5105
102,111,59,98,33,0.15,38.0,6.0,218,2026-08-30 17:20:00,PT5M,15.645,28.112,22.2065,9.0835,3.178
88,92,14,89,33,0.15,38.4,6.0,218,2026-08-30 17:25:00,PT5M,12.647,23.4915,18.3545,6.9395,1.8025
72,75,6,74,33,0.15,38.9,5.9,218,2026-08-30 17:30:00,PT5M,9.999,19.1185,14.7987,5.1993,0.8795
59,62,0,62,33,0.15,39.5,5.8,218,2026-08-30 17:35:00,PT5M,8.167,15.2555,11.8977,4.4363,1.0785
49,51,0,51,33,0.15,40.2,5.8,218,2026-08-30 17:40:00,PT5M,6.479,12.005,9.3874,3.5706,0.953
42,44,0,44,32,0.15,40.9,5.8,218,2026-08-30 17:45:00,PT5M,5.006,9.228,7.2281,2.7839,0.784
32,33,0,33,32,0.15,41.6,5.8,218,2026-08-30 17:50:00,PT5M,3.603,6.5575,5.158,2.048,0.6485
22,23,0,23,32,0.15,42.4,5.8,218,2026-08-30 17:55:00,PT5M,2.29,3.5995,2.9792,1.6008,0.9805
14,14,0,14,32,0.15,43.1,5.8,218,2026-08-30 18:00:00,PT5M,1.235,1.9505,1.6116,0.8584,0.5195
7,7,0,7,31,0.15,43.9,5.8,218,2026-08-30 18:05:00,PT5M,0.165,0.408,0.2929,0.0371,0.0
2,2,0,2,31,0.15,44.7,5.8,218,2026-08-30 18:10:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,45.5,5.7,218,2026-08-30 18:15:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,31,0.15,46.3,5.7,218,2026-08-30 18:20:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,47.1,5.7,218,2026-08-30 18:25:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,47.9,5.7,218,2026-08-30 18:30:00,PT5M,0.0,0.0,0.0,0.0,0.0
0,0,0,0,30,0.15,48.7,5.6,218,2026-08-30 18:35:00,PT5M,0.0,0.0,0.0,0.0,0.0
